name
1
Abja
Aspach
Austria
Barcelona
Budapest
Eesti
Eisleben
Geislingen
Göteborg
Haabneeme
Haapsalu
Habaja
Hanko
Heidelberg
Helsingi
Joensuu
Jurjev
Järvaküla
Jüri
Keila
Kielce
Kiev
Kilingi-Nõmme
Kodijärve
Kose
Krakov
Kuresaare
Kuressaare
Laagri
Laiuse
Lauka
Lelle
Leningrad
Lohusalu
Luige
Lund
Madrid
Miitavi
Moskva
Málaga
Narva
Narwa
New York
New-York
Nõmme
Omsk
Paide
Peetri
Pernus
Peterburi
Petrograd
Petseri
Puhja
Pärnu
Põltsamaa
Põlva
Rakvere
Rakwere
Rapla
Riia
Rooma
Saaremaa
Saksamaa
Saue
Sauga
Stockholm
Sydney
Tallinn
Tallinn-Nõmme
Tartu
Tartus
Teadmata
Toronto
Tõrva
Vadstena
Valga
Viljandi
Vilnius
Vändra
Võru
q
