first_name,last_name,birth_year,death_year
Karl,Friedrich,,
Egon,Friedell,1878,1938
G. von,Friedeberg,,
E.,Freyhait,,
Freigard,Frey,,
Alexander Moritz,Frey,1881,1957
Julius,Freund,,
August,Fresenius,1834,
Wilhelm,Frerking,1852,1938
Gustav,Frenssen,1863,1945
L.,Frei,,
Jan Alexander,Fredro,1829,1891
Léon,Frapié,1863,1949
Léon,Frapié,1863,1949
Ilse,Frapan,1849,1908
Herbert,Franz,,
Ivan,Franko,1856,1916
Edgar,Franklin,1879,1958
Benjamin,Franklin,1706,1790
Benjamin,Franklin,1650,1727
Richard Otto,Frankfurter,1873,1953
G.,Franke,,
François,L'Hermite,1601,1655
Harry Alverson,Franck,1881,1962
Franciscus,Assisist,1182,1226
Anatole,France,1844,1924
Valeri,Brjussov,1873,1924
E.,Fourier,,
E. J.,Fortunato,,
,Fortunato,,
Maxime,Formont,1864,1940
Robert,Foren,,
Theodor,Fontane,1819,1898
Oskar Maurus,Fontana,1889,1969
Charles,Foleÿ,1861,1956
Charles,Foleÿ,1861,1956
Andrä Heinrich,Fogowitz,1858,1909
,Foeth,,
Herbert,Flowerdew,1866,1917
Erich,Fliess,1857,1898
Alice,Fliegel,1884,1973
Emil,Flechsig,1808,1878
Gustave,Flaubert,1821,1880
Cäsar,Flaischlen,1864,1920
Adolf,Flachs,,
Aleksandr,Fjodorov,1868,1949
Aleksandr,Fjodorov-Davõdov,1875,1936
Wilhelm,Fischer,1846,1932
Kuno,Fischer,1824,1907
Hanns,Fischer,1865,1952
Alexander,Fischer,1812,1843
Wilhelm,Fischer-Graz,1846,1932
Francesca,Fiodo,,
,Figner,,
S.,Fideljev,,
Afanassi,Fet,1820,1892
Fanny,Fern,1811,1872
Anton,Fendrich,1868,1949
Guido von,Fels,1859,1918
Kurt,Felden,,
Emil,Felden,1874,1959
Karl,Federn,1868,1943
F. A.,Feddersen,,
R.,Fay,,
E.,Fauriere,,
Louise,Faubel,,
,Fanry,,
Hoffmann von August Heinrich,Fallersleben,1798,1874
Fjodor,Falkovski,1874,1942
Samuel,Falkland,1864,1924
Hugo Herman Vilhelm,Falk,1862,1925
Fred,Fakler,1877,1943
E.,Fahrow,,
E.,Fahrov,,
K.,Faber,,
Max,Eyth,1836,1906
Carola von,Eynatten,1857,1917
Hanns Heinz,Ewers,1871,1943
August,Mordtmann,1839,1912
Rudolf Hans,Bartsch,1873,1952
Karl,Ewald,1856,1908
R.,Eulenberg,,
Andreas Robert,Eule,1864,1932
Theodor,Etzel,1873,1930
Karl,Ettlinger,1882,1946
Hermann,Esswein,1877,1934
Gustav,Esmann,1860,1904
Ludwig,Eschwege,,
Mathilde von,Eschen,1804,1870
Paul,Ernst,1866,1933
E.,Ernst,,
Ernst,Otto,1862,1926
Villem,Ernits,1891,1982
Ernest,Seton-Thompson,1860,1946
Josef,Erler,1857,1932
J.,Erlau,,
Anders F.,Eriksholm,1870,1944
Émile,Erckmann,1822,1899
Alexandre,Chatrian,1826,1890
,Erckmann-Chatrian,,
Felix,Erber,1869,
Georgi,Erastov,1875,1918
Epiktetos,u,50,135
Helene von,Engelhardt,1850,1910
Georg,Engel,1866,1931
Anna,Enders-Dix,1874,1947
Johannes,Emmer,,
Alexander,Elz,,
Sven,Elvestad,1884,1934
Otto von,Elster,1852,1922
Kristian,Elster,1841,1881
D.,Elster,,
Aleksandr,Elski,1834,1916
Edward S.,Ellis,1840,1916
Elin,Pelin,1877,1949
Louise,Elias,1865,1923
,Elaine,,
,El-Correi,,
Kurt,Eisner,1867,1919
Hans Heinrich,Ehrler,1872,1951
Albert,Ehrenstein,1886,1950
Alvin von,Ehrbach,,
Viktors,Eglītis,1877,1945
Peter,Egge,1869,1959
Argyris,Eftaliotis,1849,1923
Eero,Eerola,1884,1939
Frederik Willem van,Eeden,1860,1932
Karl,Edvald,,
Kasimir,Edschmid,1890,1966
Paul,Eckert,,
A. von der,Ecken,,
Elfriede,Eckardt-Skalberg,1884,1964
José,Echegaray,1832,1916
Karl Egon,Ebert,1801,1882
Paul,Eberhardt,1879,1923
E.,S-v,,
E. L.,W.,,
E.,H.,,
E.,B.,,
O.,Dyla,,
James Francis,Dwyer,1874,1952
F.,Duxen,,
Andre,Duvernois,,
A.,Duvernois,,
Alfred Marius,Duvantier,1875,1941
Joachim von,Dürow,1836,1922
A,Durliag,,
Ida von,Düren,,
M.,Dunkel,,
Dora,Duncker,1855,1916
Alexandre vanem,Dumas,1802,1870
E.,Düfferl,,
Jekabs,Duburs,1866,1916
J.,Dubrovski,,
Du,Fu,712,770
M.,Dshianelli,,
Spiridon,Drožžin,1848,1930
Fred,Driesen,,
Émile-Cyprien,Driant,1855,1916
Émile,Driant,1855,1916
Max,Dreyer,1862,1946
Hermann,Dressler,1882,1955
,Dressauer,,
Arthur,Dourliac,1848,1905
M.,Dostojevski,,
Albert,Dorrington,1874,1953
V.,Dorošev,,
N.,Dorosejev,,
Ossip,Dõmov,1878,1959
Walther,Domansky,1860,1936
A.,Domanski,,
Herbert,Dolgoi,,
Moritz,Doering (Döring),1798,1856
Valentina,Dmitrijeva,1859,1947
M.,Dmitrijev,,
Fr,Copce,,
Aleksander,Divin,,
Franz,Dingelstedt,1814,1881
Liesbet,Dill,1877,1962
C.,Dilga,,
Andrei,Diki,,
,Digamma,,
Ernst,Didring,1868,1931
Anna,Dick,,
H.,Devidé,,
J.,Destreu,,
A.,Dessauer,,
Lucien,Descaves,1861,1949
Salamon,Dembitzer,1888,1964
R.,Delorme,,
Marie Eugenie,Delle Grazie,1864,1931
Franz,Delitzsch,1813,1890
Grazia,Deledda,1871,1936
Alfred,Delacour,1815,1883
Alfred,Hennequin,1842,1887
M. B.,Del Turcko,,
Richard,Dehmel,1863,1920
Daniel u,Defoe,1660,1731
Louis Alexandre,Dechet,1801,1830
Camille,Debans,1832,1919
De,Vastoli,,
Marie Louise,De La Ramée,1839,1908
A.,Dawidow,,
Richard Harding,Davis,1864,1916
Hubert Henry,Davies,1869,1917
Jakob Julius,David,1859,1906
Max,Dauthendey,1867,1918
Ernest,Daudet,1837,1921
,Datshitsh,,
Alois,Dastal,,
Gustaw,Daniłowski,1871,1927
N.,Danarov,,
Valdemārs,Dambergs,1886,1960
Max,Dalmer,,
,Dalai-Nor,,
Emil,Dabori,,
Paul,D'Ivoi,1856,1915
N. A.,D'Essar,,
Georges,D'Esparbes,1863,1944
Gabriele,D'Annunzio,1863,1938
,D-ali,,
Maria,Czygan,,
Bolesław,Czerwieński,1851,1888
Wilhelm Jakob Georg,Curtmann,1802,1871
Rudolph,Curtius,,
Rudolf,Curtius,,
B. M. (Bithia Mary),Croker,1849,1920
Anna,Croissant-Rust,1860,1943
Wilhelm,Cremer,1874,1932
Hedwig,Courths-Mahler,1867,1950
Georges,Courteline,1858,1929
Ida von,Couring,,
,Cosslar,,
John Russell,Coryell,1851,1924
Svetozar,Ćorović,1875,1919
Blanda,Corony,1841,1911
Michel,Corday,1869,1937
Fr.,Copce,,
P.,Conty,,
Michael Georg,Conrad,1846,1927
Arthur,Conan Doyle,1859,1930
,Coll,,
Hedwig,Coler,,
William Frederick,Cody,1846,1917
,Coclen,,
Friedrich,Clemens,1801,1888
A. Th.,Claus,,
Jules,Claretie,1840,1913
,Clare,,
Marcus Tullius,Cicero,106,43
Christos,Christovasilis,1861,1937
Hjalmar,Christensen,1869,1925
Ada,Christen,1839,1901
Svatopluk,Čech,1846,1908
Svatopluk,Čech,1846,1908
,Cato.,,
,Cato,234,149
,Cato,,
,Castro,,
Alexander,Castell,1883,1940
Alexander,Castell,1883,1939
Carl,Cassau,1840,1909
Léon,Cassan,1865,1905
Michel,Carré,1821,1872
Léon,Battu,1829,1857
Giosuè,Carducci,1835,1907
Alfred,Capus,1858,1922
Arturo,Campion,1854,1937
Heinrich,Büttner,,
Nikolai,Butovski,1850,
P.,Butošin,,
Paul,Busson,1873,1924
Car,Busse,1872,1918
Georg,Busse-Palma,1876,1915
Wilhelm,Busch,1832,1908
G. F.,Busch,,
F.,Burso,,
Frances Eliza Hodgson,Burnett,1849,1924
Eugen,Burmakin,,
Louis,Burlandt,1881,1943
Julia,Büren-Hahn,,
S.,Bure,,
J.,Burda,,
Ivan,Bunin,1870,1953
E. Newton,Bungey,1880,1972
Edward,Bulwer-Lytton,,
Dmitri,Bulgakovski,1843,
Carl,Bulcke,1875,1936
P. A.,Bulange,,
Jakob,Bührer,1882,1975
Arkadi,Buhhov,1889,1937
J. A.,Budištšev,,
Aleksei,Budištšev,1867,1961
Aleksei,Budištšev,1867,1916
Bernhard,Buchbinder,1849,1922
Robert,Buchanan,1841,1901
William Cullen,Bryant,1794,1878
George,Bryan,1879,1943
Laurids,Bruun,1864,1935
,Brunner,,
Gustav von,Brühl,,
Ljubiza,Brtitshev,,
F.,Brown,,
George,Bronson-Howard,1883,1922
P.,Bronsky,,
Margarete,Bromber,,
Edouard,Brisebarre,1817,1871
Eugène,Brieux,1858,1932
Fritz von,Briesen,1874,1914
Alfred,Brie,1870,1942
Clotilde,Brettauer,1861,1936
Nikolai,Breško-Breškovski,1874,1943
Anna,Brentano-Bauck,1853,1898
Karl Johann Braun von,Braunthal,1802,1866
Max,Braunschweig,,
Eduard,Braune,,
Georg,Brandes,1842,1927
Karl,Brand,1895,1917
P.,Brams,,
Mary Elizabeth,Braddon,1835,1915
Carry,Brachvogel,1864,1942
Albert Emil,Brachvogel,1824,1878
Roberto,Bracco,1862,1943
Ida,Boy-Ed,1852,1928
Frédéric,Boutet,1874,1941
Paul,Bourget,1852,1935
Marcel,Boulenger,1873,1932
Marcel,Boulanger,,
Katarina,Botsky,1880,1945
Hristo,Botev,1848,1876
N.,Bõstreninov,,
Jacques-Bénigne,Bossuet,1627,1704
A.D.,Borum,,
J. W.,Borsunski,,
Georg,Borgfeldt,,
,Börger,,
B.,Boretski,,
Vladimir,Bord,,
Elsbeth,Borchart,1878,
Guy Newell,Boothby,1867,1905
Bohumil,Bonschka,,
St.,Bonsali,,
,Bonavendra,,
Wilhelm,Bölsche,1861,1939
Paul,Boldt,1885,1921
Johan,Bojer,1872,1959
Nicolas,Boileau-Despréaux,1636,1711
Margarete,Böhme,1869,1939
Klara,Bohm-Schuch,1879,1936
Joseph Henri Honoré,Boex,1856,1940
Séraphin Justin François,Boex,1859,1948
Matthias McDonnell,Bodkin,1850,1933
Pjotr,Boborõkin,1836,1921
M.,Bobinskaja,,
E.,Bober,,
Harry,Blyth,1852,1898
Victor,Blüthgen,1844,1920
Hans Friedrich,Blunck,1888,1961
Oskar,Blumenthal,1852,1917
Paul,Bliss,1861,
Nini,Blese,,
Franz,Blei,1871,1942
Ernst,Blass,1890,1939
Vicente,Blasco-Ibáñez,1867,1928
Vicente,Blasco Ibáñez,1867,1928
Matthias,Blank,1881,1928
E.,Bland,,
August,Blanche,1811,1868
Gunnar,Bjurmann,1880,1951
J. B.,Bjelonski,,
Max,Bittrich,1867,1959
Alexandre,Bisson,1848,1912
Antony,Mars,1862,1915
J.,Bishop,,
Ernests,Birznieks-Upītis,1871,1960
Lajos,Biró,1880,1948
A.,Birminham,,
,Binet-Valmer,1875,1940
Helene,Binder,1855,1915
Helene,Binder,,
Heinrich,Binder,1878,
P.,Billiani,,
Viktor,Bilibin,1859,1908
Ambrose,Bierce,1842,1914
E.,Bielhof,,
Edmund‏ ‎,Bieder,1877,1936
Prienest,Bias,6,
Max,Bewer,1861,1921
R.,Beutner,,
A.,Beury,,
J.,Bettelhein,,
Klotilde,Bettauer,,
Valeska,Bethusy-Huc,1849,1926
Hans,Bethge,1876,1946
Ewa,Bessler,,
,Berthold,,
Bertha,Behrens,1848,1912
A.,Berris,,
,Berret,,
Marie,Bernhard,1852,1937
D. M.,Berjozkin,,
Meta,Beringer,,
Dagmar,Berghues,,
O. G.,Berger,,
llse,Berger,,
J.,Berger,,
Ilse,Berger,,
Henning,Berger,1872,1924
Emile,Berger,,
Kurt,Berge,,
F. N.,Berg,,
Vladimir,Berenštam,1871,1931
Alice,Berend,1876,1938
Sergei,Berdjajev,1860,1914
Emil,Berdau,1857,1926
Berczik,Árpád,1842,1919
Feodor,Ber-Zalevski,,
,Benwennt,,
John,Bennet,1865,1956
Gottfried,Benn,1886,1956
,Benière,,
Julius Roderich,Benedix,1811,1873
Victoria,Benedictsson,1850,1888
H.,Bender,,
,Beltramelli,,
,Beloussov,,
Ivan,Belokonski,1855,1932
Ivan,Belokonski,1855,1931
Leo,Belmont,1865,1941
Antonio,Belltramelli,1874,1930
Edward,Bellamy,1850,1898
Else,Bell,,
Ivan,Beljajev,1893,1927
Oktave,Beliore,,
Vissarion,Belinski,1811,1848
Ludwig Albert Hugo,Behrens,1820,1910
Otto,Behrend,1857,
Leonard John,Beeston,1874,1963
H.,Beer,,
Johannes Robert,Becher,1891,1958
Olga,Bebutova,1879,1952
Pierre Augustin Caron de,Beaumarchais,1732,1799
,Beaulieu,,
Aubrey,Beardsley,1872,1898
René,Bazin,1853,1932
Ottilie,Bayer,1848,1913
A.,Baumgart,,
Nicolai,Baumbach,1831,1904
Ludwig,Bauer,,
Wolf von,Baudissin,1867,1926
Charles,Baudelaire,1821,1867
Aleksandr,Bartšenko,1881,1938
R.,Bartolomäus,,
Paul,Barsch,1860,1931
,Barrie-Pain,,
Albert,Barré,,
Paul,Bilhaud,1854,1932
Conradine,Barner Aagaard,1836,1920
V.,Barjatinski,,
E. von,Barfus,,
Thorkil,Barfod,1889,1947
Rene de,Barfaus,,
Henri,Baraude,1859,1950
Mihhail,Barantsov,,
Kazimir,Barantsevitš,1851,1927
P.,Banhomme,,
Herman,Bang,1857,1912
Konstantin,Balmont,1867,1942
Eva,Ballis,,
E.,Baldt,,
Aleksander,Balazs,,
Aleksander,Balabanov,1877,
Karl Ernst von,Baer,1792,1876
Paul,Sarin,,
R.,Baumgart,,
Julius,Bab,1880,1955
B.,V.,,
,B.,,
Vassili,Avsejenko,1842,1913
Lidia,Avilova,1864,1943
Heinrich,Aviksoo,1880,1942
Arkadi,Avertšenko,1881,1925
Jan,Augustovicz,,
Annemarie von,Auerswald,1876,1945
Raoul,Auernheimer,1876,1948
Joh.,Audova,,
Aleksander,Audova,1892,1932
Marguerite,Audoux,1863,1937
Victor,Auburtin,1870,1928
G.,Attoli,,
Martha,Assmus,1844,1910
Vladimir,Aškinazi,1873,1941
A. E.,Ashford,,
Šolem,Aš,1880,1957
Mihhail,Artsõbašev,1878,1927
Mihhail,Artsõbašev,1878,1927
,Artschian,,
Pontus,Arti,,
W.,Arnold,,
,Aristarchus,,
,Arion,,
Friedrich,Arenhövel,1886,1954
Paul,Arène,1843,1896
J.,Ardenin,,
Gyula,Arany,,
Kurt,Aram,1869,1934
Shio,Aragvispireli,1867,1926
M.,Apinjanski,,
Paul,Apel,1872,1946
Ludwig,Anzengruber,1839,1889
Ludwig,Anzengruber,1839,1889
Vassili,Anutšin,1875,1945
R.,Antropov,,
,Antonowitsch,,
E.,Annuske,,
H.,Annila,,
Louis,Angely,1787,1835
,Andruson,,
Th.,Andresen,,
Andrejev,Leonid,1871,1919
Paul,André,1873,1957
Jacob Carl,Andrä,1823,1890
Richard,Schneider,,
,Anderson,,
G.,Andersen,,
Martin,Andersen Nexø,1869,1954
Anton,Amnuel,1890,
Aleksandr,Amfiteatrov,1862,1938
Peter,Altenberg,1859,1919
Otto,Alscher,1880,1944
Eero,Alpi,1885,1933
Eero,Alpi,1885,1933
Alkaios,u,625,580
Flemming,Algreen-Ussing,1885,1927
,Aleksovitš,,
J.,Aleksejev,,
Ivan,Aleksejev,,
I.,Aleksejev,,
Alfredo,Aleardi,1812,1878
W.,Aldeno,,
Alfred,Albini,,
Albin,Albini,1777,1838
Alfred,Albali,,
Jānis,Akuraters,1876,1937
Nikolai,Aksakov,1848,1909
Konstantin,Aksakov,1817,1860
J. W.,Äkermark,,
D.,Aismann,,
D.,Aisman,,
,Aischylos,525,456
,Aina,,
Charles Hamilton,Aide,1826,1906
Jakob Johan,Ahrenberg,1847,1914
Jakob,Ahrenberg,1847,1914
Jacob,Ahrenberg,1847,1914
Juhani,Aho,1861,1921
Mihhail,Kuzmin,1872,
Anna,Ahmatova,1889,1966
Avetis,Aharonjan,1866,1948
Ilja,Agafonov,1886,1913
A. L.,Afanasjev,,
Eufemia von,Adlersfeld-Ballestrem,1854,1941
Herbert,Adams,1874,1958
V.,Adamovitš,,
Arthur,Achleitner,1858,1927
Hedwig,Abt,1856,1910
H.,Abt,,
Emil,Ábrányi,1882,1970
Abraham a Sancta,Clara,1644,1709
Edmond,About,1828,1885
J.,Abner,,
Hans,Aanrud,1863,1953
A.,K.,,
A.,H.,,
A.,A.,,
,a.,,
Helene,(Schnübbe-)Schomburgk,,
Helene,(Schnübbe-) Schomburgk,,
,(K.),,
,(el),,
,-üü-,,
,-ts.,,
,-ts,,
,-r.,,
,-pp.,,
,-n-.,,
,-mp.,,
,-l,,
,-ha.,,
,-g-,,
,-en.,,
,-el.,,
,-di.,,
U.,Zwick,,
Michael,Zwick,,
M.,Zwick,,
Stefan,Zweig,1881,1942
Hélène van,Zuylen,,
Johanna Enni von,Zur Mühlen,1871,1967
Heinz von,Zur Mühlen,1914,2005
Oton,Zupančič,1878,1949
Hanna,Zunk,,
Vanda,Žulkevska,,
E.,Zulert,,
Ernst,Züchner,,
Karl,Zuchardt,1887,1968
Luciano,Zùccoli,1868,1929
Edith,Zübert,,
László,Zsoldos,1874,1926
Mihhail,Zoštšenko,1894,1958
A.,Zoritš,1899,1937
Vinko,Zorić,,
André von,Zombori-Kún,1898,1935
Konstantin,Zolotovski,1904,1994
D.,Zolotnitski,,
Peter,Zoege von Manteuffel,1866,1947
Fedor von,Zobeltitz,1857,1934
Stepas,Zobarskas,1911,1984
Juozas,Žlabys-Žengė,1899,1992
Martins,Ziverts,1903,1990
Boriss,Žitkov,1883,1938
Boriss,Žitkov,1882,1938
Lotte,Zischka,,
Maks,Zinger,1899,1960
Leo,Zinger,,
L.,Zimni,,
Heinrich,Zille,1858,1929
Wolfgang,Zilger,,
Lajos,Zilahy,1891,1974
Paul,Zifferer,,
Paul,Ziffener,,
K.,Ziegler,,
Zhuangzi,u.,370,290
Zhōu,Lìbō,1908,1979
Zhang,Tianyi,1906,1985
May,Zeumer,,
Max,Zeumer,,
Sven,Zetterström,1867,1913
Hasse,Zetterström,1877,1946
Erik,Zetterström,1904,1997
W.,Zerlett-Olfenius,,
Heinrich,Zerkaulen,1892,1954
Pjotr,Žerebtsov,,
Hermann,Zenker,,
Edith,Zellweker,,
E.,Zellweker,,
Peter,Zell,,
P. M.,Zell,,
Pavel,Železnov,1907,1987
A.,Zeddris,,
Friedrich,Zeckendorf,1886,1943
Alfons,Zech,,
Bernhard,Zebrowski,,
B.,Zebrovski,,
Nikolai,Ždanov,1909,1980
,Zazzo,,
František,Zavřel,1884,1947
David,Zaslavski,1880,1965
J.,Zarubin,,
Aleksandr,Žarov,1904,1984
Comte de,Zarm,,
Nairi,Zarjan,1900,1969
Kārlis,Zariņš,1889,1978
Sofia,Zaretšnaja,1887,1967
O.,Zapp,,
M.,Zampa,,
Pjotr,Zamoiski,1896,1958
,Žambõl,1846,1945
B.,Zambaldi,,
Edoardo,Zamaeois,,
Miguel,Zamacoïs,1866,1955
Máté,Zalka,1896,1937
Elīna,Zālite,1898,1955
Anna‏ ‎,Zahorska,1882,1942
Jakov,Zadõhhin,,
Nikolai,Zabolotski,1903,1958
Natalja,Zabila,1903,1985
N.,Zabegajev,,
Yordan,Yovkov,1902,1966
Francis Brett,Young,1884,1954
Yiking,Li,,
William Butler,Yeats,1865,1939
Xurşidbanu,Natəvan,1832,1897
,Xenophon,,
Lui,Xavier,,
B.,Xankiz,,
Pamela,Wynne,,
Anthony,Wynne,1882,1963
Fr. A.,Wyneken,,
Dolf,Wyllarde,1871,1950
Philip,Wylie,,
Ida Alexa Ross,Wylie,1885,1959
Richard,Wurmb,1860,
Ernst,Wurm,1906,1971
Hella,Wuolijoki,1886,1954
Lee,Wulff,1905,1991
H. Gibson,Wsrwick,,
Sydney Fowler,Wright,1874,1967
Ronald,Wright,,
R.,Wright,,
Cassiter,Wright,,
R.,Wrepont,,
Percival Christopher,Wren,1885,1941
Henry,Wreath,,
Henrik,Wranér,1853,1908
Anny,Wothe,1858,1919
G. F.,Worts,,
Henry,Worthington,,
H.,Worthington,,
A.,Worrington,,
Hardy,Worm,1896,1973
Sophie,Wörishöffer,1838,1890
Ernst,Woop,,
Richard,Woodstone,,
P. G.,Woodhouse,,
Mildred Violet,Woodgate,1904,
Jack,Woodford,1894,1971
Sabina,Wood,,
George,Wood,1827,1889
Marta,Wolter,,
A.,Wolmer,,
Jiří,Wolker,1900,1924
Ludwig,Wolff,1876,1958
H.,Wolf,,
Alois,Wohlmuth,1852,1930
Hans,Wohlbold,1877,1949
Ludwig von,Wohl,1903,1961
Joachim H.,Wohl,,
P. G.,Wodehouse,1881,1975
Marjorie L. C.,Pickthall,1883,1922
Gotthard,Wloka,,
G.,Wloka,,
Vicktor,Witte,,
Fritz,Witte,1876,1937
E. F.,Witte,,
A. F.,Witte,,
T. de,Witt Tallmage,,
Fritz,Witkowski,,
Nicholas Patrick,Wiseman,1802,1865
F.,Winterstein,,
Hans Joachim von,Winterfeld,,
B.,Winterfeld,,
Robert,Winsmore,,
Ernst,Winklar,,
Luise,Winkelmann,,
Ben,Wingae,,
E.,Winch,,
Harold,Wimbury,,
Hans von,Wilsdorff,,
Hans,Wilsdorf,,
Hans,Willumsen,,
H.,Willumsen,,
H.,Willumann,,
Dickie,Willson,,
Honoré,Willsie,,
Barrett,Willoughby,1886,
Geoffrey,Williamson,,
Charles Norris,Williamson,1859,1920
Alice Muriel,Williamson,1869,1933
Valentine,Williams,1883,1946
V.,Williams,,
Ursula Moray,Williams,1911,
E.,Willcox,,
J.,Wilhelm,,
Hans Hermann,Wilhelm,1892,1975
J.,Wilfing,,
Billy,Wilder,1906,2002
Rose,Wilder-Lane,1886,1968
Percival,WIlde,,
Kate Douglas,Wiggin,1856,1923
Rolf,Wiesler,,
E,Wier-Shesnak,,
Carl Friedrich,Wiegand,1877,1942
Christian,Wiedersheim,,
Herman,Widdendorf,,
Hana Herta,Wićazec,1819,1885
Victor,Whitechurch,,
Walter,White,,
Fred M.,White,1859,
F.,White,,
Edward,White,,
Eduard,White,,
Edmund,White,,
Joe,Whist,,
J. E.,Wheelwright,,
Dennis,Wheatley,1897,1977
Rudolf,Weyrich,1846,1874
Margaret,Weymouth Jackson,1895,1974
W.,Wetterstein,,
Albert Richard,Wetjen,1900,1948
A. R.,Wetjen,,
A. I.,Wetjen,,
Lore,Weth,1898,1976
Anders Christian,Westergaard,1888,1951
Keith,West,,
Jessamyn,West,1902,1984
Hans,West,,
Gloria,West,,
H.,Werner,,
Gerald,Werner,,
A.,Werner,,
Henri van,Wermeskerken,1882,1937
Josef,Werdisch,,
Emmy,Wentzel,,
Peter,Wentworth,,
P.,Wenthworth,,
Lisa,Wenger,1858,1941
E.,Wendt,,
W.,Wendling,,
Johannes,Wendelin,,
E.,Wendel,,
Friedrich,Wencker-Wildberg,1896,1970
Heinz,Welten,1876,1933
Herbert George,Wells,1866,1946
H. A.,Wells,,
Heinz Ludvig,Wellhausen,,
Otto Hofmann von,Wellendorf,,
Edvard,Welle-Strand,1884,1965
Ehm,Welk,1884,1966
William,Weldin,,
Wilhelm,Weldin,,
Josef,Weksberg,,
Philipp,Weitz,,
Klemens,Weitz,,
D.,Weiss,,
Alice,Weiss von Ruckteschell,1892,
Franz Carl,Weiskopf,1900,1955
Erich,Weinert,1890,1953
Louis,Weinert-Wilton,1875,1945
Erwin,Weill,1885,1943
G.,Wehner,,
Armin T.,Wegner,1886,1978
Lola,Landau,1892,1990
Josef Julius,Wecksell,1838,1907
Jean,Webster,1876,1916
Serge,Weber,,
Pierre G.,Weber,,
Heinz,Weber,,
Fritz,Weber,1895,1972
Emil,Weber,,
Mary,Webb,1881,1927
Barbara,Webb,,
Hans,Watzlik,1879,1948
Grant,Watson,,
Wanda,Wasilewska,1905,1964
,Wasa,,
A.,Wartenberg,,
Sam G.,Warren,,
André,Warnod,1885,1960
Edmund,Ware,,
Iwan,Wandor,,
Grete,Wanderer,,
O.,Wandecker,,
Udo,Walter,,
Mika,Waltari,1908,1979
J. M.,Walsh,1897,1952
Robert,Walser,1878,1956
Franz,Wallner,1810,1876
Friedrich,Wallisch,1980,1969
Jenő,Wallesz,1871,1943
Hjalmar,Wallander,,
Richard Horatio Edgar,Wallace,1875,1932
G. H.,Wallace,,
Edgar,Wallace,1875,1932
Dorothy,Walker,,
Grace,Walding,,
G.,Walding,,
Ludwig,Waldau,,
Jean,Walch,,
U. W.,Walakorpi,1886,1957
H. R.,Wakefield,,
Johann,Waj,,
Robert,Wainer,,
Paul,Wain,,
Hugo,Wahlberg,,
H.,Wahlberg,,
Maria von,Wahl,,
Hermann,Wagner,,
Harald,Wägner,1885,1925
Friedrich Wilhelm,Wagner,1892,1931
Friedrich,Wagner,,
Elin,Wägner,1882,1949
W.,Wagner Stürmer,,
Ch.,Wadsworth Camp,,
Olive,Wadsley,1859,1959
Henry,Wade,1887,1969
Aleksandr,Vvedenski,1904,1941
Səməd,Vurğun,1906,1956
Einari,Vuorela,1889,1972
Igor,Vsevoložski,1903,1967
Margit de,Vries,,
Jaroslav,Vrchlický,1853,1912
J.,Vozuckiego,,
Ethel Lilian,Voynich,1864,1960
E. M.,Vötzel,,
E.,Vossberg,,
Erich von,Voss,1895,1968
Harry,Vosberg,,
J.,Vorwerk,,
Ljubov,Voronkova,1906,1976
Platon,Voronko,1913,1988
Jevgeni,Vorobjov,1910,1990
F.,Vorberg,,
V.,Voore,,
K.,Voore,,
S. van,Voogt,,
Leopold,Vondt,,
Marta,Volter,,
Richard von,Volkmann-Leander,1830,1889
Vladimir,Volkenstein,1883,1975
T.,Volff-Kettner,,
Josef,Volf,,
Francis,Volf,,
T.,Volding,,
Vsevolod,Vojevodin,1907,1973
Jevgeni,Rõss,1908,1973
Karl-Heinz,Voigt,,
V.,Vogt,,
Karl-Heinz,Vogt,,
Emma,Võgodskaja,1898,1949
M.,Vogler,,
C.,Vogler,,
Walther von der u.,Vogelweide,1170,1230
Inge,Vogel,,
E.,Vogel,,
Bodo Martin,Vogel,1900,1954
B. M.,Vogel,,
H.,Vloka,,
Vladimir,Majakovski,1893,1930
Karl,Vivian,,
Charles,Vivian,1882,1947
Emile,Viveur,,
Annie,Vivanti,1866,1942
Livio E.,Vitturbi,,
L. E.,Vitturbi,,
E. V.,Vitte,,
A.,Vitte,,
Vsevolod,Višnevski,1900,1951
Melchior,Visner,,
Henrik,Visnapuu,1890,1951
Edvarts,Virza,1883,1940
Ch.,Virtzenius,,
Frank,Virter,,
France,Virter,,
Ferenc,Virter,1875,1924
Nikolai,Virta,1906,1976
Lauri,Virta,,
H. C.,Vire,,
G.,Vire,,
C.,Vire,,
E.,Virchov,,
Elemér,Virányi,1897,
Annie,Viranti,,
Marcelle,Vioux,1895,1984
O.,Violan,,
Johan,Vinter,,
Niina,Vinogradova,,
Viktor,Vinnikov,1903,1975
Vladimir,Kraht,1904,1972
Luise,Vinkelmann,,
L.,Vinkelman,,
V.,Vinkel,,
Aarne,Vinkel,1918,2006
H.,Vindhusen,,
H.,Villumsen,,
François,Villon,1431,
Gerald,Villiers-Stuart,1869,1951
Robert,Villie,,
R.,Villie,,
C.,Villeron,,
A.,Villemi,,
Hansjürgen,Ville,1901,1973
Lauri,Viljanen,1900,1984
Pāvils,Vīlips,1901,1979
Ezra,Vilenski,1902,1944
Charles,Vildrac,1882,1971
Irina,Vilde,1907,1982
Gustav,Vilbaste,1885,1967
G,Vilbaste,,
