first_name,last_name,birth_year,death_year
Margarethe von,Sydow,1869,1945
Herbert,Swinden,,
Aleksander,Świętochowski,1849,1938
V.,Svetlov,,
von,Süttner,,
Bertha von,Suttner,1843,1914
Arthur Gundaccar von,Suttner,1850,1902
K.,Surnakov,,
,Suonio,,
Kaarle Kustas Samuli,Suomalainen,1850,1907
,Sula,,
Vassili,Šukšin,1929,1974
Gustav,Suits,1883,1956
Eugène,Sue,1804,1857
Hermann,Sudermann,1857,1928
Lilli,Suburg,1841,1923
Julius,Sturm,1816,1896
Stud.,R.,,
Adolf,Strodtmann,1829,1879
August,Strindberg,1849,1912
Hesba pseud.,Stretton,1832,1911
Rudolf,Stratz,1864,1935
Giovanni Francesco u.,Straparola,1480,1557
Theodor,Storm,1817,1888
,Storm,,
Ferdinand,Stolle,1806,1872
Friedrich Leopold zu,Stolberg-Stolberg,1750,1819
Helene,Stökl,,
Frank Richard,Stockton,1834,1902
K.,Stöber,,
Karl,Stieler,1842,1885
Robert Louis,Stevenson,1850,1894
Adolf,Stern,1835,1907
Felix von,Stenglin,1860,1941
Alfred,Stelzner,,
A.,Stelzner,,
Heinrich,Stein,1844,1904
,Stefanovitsch,,
Bernhard,Stavenow,1848,1890
M.,Stahl,,
Staël von,Holstein,,
Sr.,G.,,
,Spielmann,,
Hans von,Spielberg,1853,1918
,Speranski,,
Lydia,Spaur,,
Karl Gottlob,Sonntag,1765,1827
Vsevolod,Solovjov,1849,1903
Vladimir,Solovjov,1853,1900
Vladimir,Sollogub,1813,1882
A. V.,Sollogub,,
,Sokrates,469,399
Jan Amos,Komenský,1592,1670
Johann Caspar,Lavater,1741,1801
,Börne,,
Aleksandr,Sokolov,1840,1913
August,Söderman,1832,1876
N.,Snjegov,,
Johan Vilhelm,Snellman,1806,1881
John,Smith,,
H.,Smith,,
Samuel,Smiles,1812,1904
Josef Václav,Sládek,1845,1912
L.,Sivert,,
Jegor von,Sivers,1823,1879
Th.,Simonss,,
Carmen,Silwa,,
Johann Gottfried von,Herder,1744,1803
Theo,Silmann,,
Heinrich,Silesius,,
August,Silberstein,1825,1900
,Siirup,,
,Siherwante,,
Signor,Saltarino,1863,1941
Henryk,Sienkiewicz,1846,1916
Carl,Siebel,1836,1868
Shirazi,Saadi,1210,
Harry,Sheff,1861,1926
William,Shakespeare,1564,1616
Karl von,B.,,
Joh.,Müller,,
Mirza (,Shafi Vazeh,1794,1852
A. N.,Sevastjanov,,
Johann Gottfried,Seume,1763,1810
A.,Sergijev,,
,Seneca,4,65
Sergei,Semjonov,1868,1922
C.,Seimens,,
Henriette,Seifried,,
Johann Gabriel,Seidl,1804,1875
Heinrich,Seidel,1842,1906
Louis-Philippe de,Ségur,1753,1830
Theo,Seelmann,,
Bertie,Scotchfield,,
N.,Sclächtjuk,,
R.,Schweitzer,,
Marie,Schwarz,1819,1894
J.,Schwarz,,
Clotilde von,Schwartzkoppen,1830,1910
Paul,Schwanfelder,,
Gustav,Schwabe,1792,1850
Gustav,Schwab,1792,1850
Heinrich Vollrat,Schumacher,1861,1919
H.,Schumacher,,
Georg Julius von,Schultz,1808,1875
Albert,Schuhmacher,1739,1789
,Schuhmacher,,
Levin,Schücking,1814,1883
H.,Schubert,,
Gotthilf Heinrich von,Schubert,1780,1860
Friedrich Karl,Schubert,1852,1892
Ernst,Schubert,,
Christian Friedrich Daniel,Schubart,1739,1791
Leopold von,Schroeder,1851,1920
Marie,Schramm-Macdonald,1846,1908
C.,Schottler,,
Paul von,Schönthan,1853,1905
Hedwig,Schobert,1857,1918
Heinrich Christian,Schnoor,1762,1828
Manuel,Schnitzer,1861,1941
August,Schnelzer,1809,1853
G.,Schneider,,
Klara,Schnakenburg,,
Adolf,Schmitthenner,1854,1907
Ferdinand,Schmitt,,
William,Schmidt,1872,1941
A.,Schmidt,,
Eduard,Schmidt-Weissenfels,1833,1893
Cristoph von,Schmid,1768,1854
Christoph von,Schmid,1768,1854
Ernst Eduard,Evers,1844,1921
Arnold,Schloenbach,1817,1866
Friedrich Daniel Ernst,Schleiermacher,1768,1834
Johanne,Schjørring,1836,1910
A.,Schilling,,
Friedrich,Schiller,1759,1805
,Claudius,10,54
,Keil,,
,Saadi,1210,1292
Adolph,Menzel,1815,1905
Moritz von,Auffenberg,1852,1928
,Hammer,,
Henry,James,1843,1916
,Körner,,
Johann Wolfgang,Goethe,1749,1832
,Balsau,,
Abraham a Santa,Clara,1644,1709
L.,E.,,
Edmund,Waller,1606,1687
Ernst,Schiller,1796,1841
Ferd,Schiftkorn,,
Ferdinand,Schifkorn,1828,1895
Georg,Scheurlin,1802,1872
Andreas,Scheu,1844,1927
Max von,Schenkendorf,1783,1817
N.,Schelonski,,
,Schelling,,
S.,Scheller,,
Aleksandr,Scheller-Mihhailov,1838,1900
Harry,Scheff,,
Leopold,Schefer,1784,1862
Fr.,Schaul,,
G.,Schätzler Perasin,,
Adam Ernst,Schalk,1827,1865
,Schill,,
Wilhelm von,Humboldt,1767,1835
Baltasar,Gracián,1601,1658
Paolo,Mantegazza,1831,1910
,Aristoteles,384,322
Alexander,Pope,1688,1744
Jean-Jacques,Rousseau,1712,1778
Aleksandr,Gribojedov,1795,1829
Johann Gottfried,Herdher,1744,1803
Carmen,Silva,1843,1916
L.,Schaffner,,
Antonia Bernardine Maria,Schaefer,1804,1889
Herman,Sätherberg,1812,1887
E.,Sas,,
Moritz Gottlieb,Saphir,1795,1858
,Santeri,,
Johann Daniel,Sander,1759,1825
Gregor,Samarow,1829,1903
Mihhail,Saltõkov-Štšedrin,1826,1889
Johann Gaudenz von,Salis-Seewis,1762,1834
E.,Salinger,,
Jevgeni,Salias-de-Turnemir,1840,1908
O.,Salgar,,
C.,Sahler,,
A.,Sahharov,,
Sergei,Safonov,1867,1904
Leopold von,Sacher-Masoch,1836,1895
,Sacher-Masoch,1836,1895
,Saadi,1213,1292
,S.,,
,s.,,
,S-s.,,
,S,,
Villem de,Ruyter,,
Jan,Rutkowski,,
Faddei,Rutkovski,,
Clark,Russell,1844,1911
D.,Russel,,
Karl,Russ,1833,1899
Otto,Ruppius,1819,1864
Helene,Runge,,
Johan Ludvig,Runeberg,1804,1877
Runeberg,Lönnrot,,
Džalal ad-Din,Rumi,1207,1273
,Rühring,,
L.,Rudorff,,
Sofia,Rudnizkaja,,
Sofia,Rudnitskaja,,
Henrik,Rudbell,,
Friedrich,Rückert,1788,1866
Charles,Rowcroft,1798,1850
Paul,Rouget,,
Adelheid von,Rothenburg,1837,1891
J.P.,Roth,,
Jevdokia,Rostoptšina,1812,1858
C.,Ross,,
J.-H. vanem,Rosny,1856,1940
Viktor,Rõškov,1863,1924
Hermann,Roskoschny,1845,1896
H.,Roskoschny,,
Hugo,Rosenthal-Bonin,1840,1897
B.,Rosenthal-Bonin,,
Rosenthal-Bonin,Hugo,1840,1897
Claudius,Rosenhoff,1804,1869
Peter,Rosegger,1843,1918
Otto,Roquette,1824,1896
Alwin,Römer,1861,1924
Konstantin,Romanov,1858,1915
Emil,Roland,,
H.,Rohl,,
,Roeller,,
Robert Eduard,Prutz,1816,1872
P.,Rjazantsev,,
H.,Rivoleti,,
Betty,Rittweger,1856,1942
Emil,Rittershaus,1834,1897
R.,Ritter,,
Adelaide,Ristori,1822,1906
G.,Rist,,
Max,Ring,1817,1901
M.,Rievesmann,,
Wilhelm Heinrich,Riehl,1823,1897
Karl Heinrich,Rieger,1726,1791
H.,Richter,,
Emilie,Richebour,1833,1898
Adolphe,Ribaux,1864,1915
John,Retcliffe,1815,1878
T.,Resa,,
Max,Rene,,
A,Remin,,
Robert,Reinick,1805,1852
,Reinhold,,
,Rein?,,
Eduard,Reimann,1833,1898
Albrecht,Reimann,,
Villem,Reiman,1861,1917
Juho,Reijonen,1855,1924
Thomas Mayne,Reid,1818,1883
Mayne Thomas,Reid,1818,1883
Moritz von,Reichenbach,1849,1926
Fritz,Reiche,,
C.,Rehfeldt,,
,Rehbinder,,
Oscar von,Redwitz,1823,1891
Robert,Redfield,1897,1958
Maria,Rebe,1826,1915
Ernst,Rauscher von Stainberg,1834,1919
Antti,Räty,1825,1852
Jevgeni,Rapp,1841,1904
Josef,Rank,1833,1912
Maria,Ramstedt,1852,1915
Viktor,Rákosi,1860,1923
,Rajewski,,
Golo,Raimund,1825,1882
Ferdinand,Raimund,1790,1836
R.,Raimar,,
,rahvalaul,,
,Raffi,1835,1888
Theodor,Räbel,1824,1895
E.,Raaben,,
,R.,,
Johann,Quirsfeld,1642,1686
Quido,René,,
J.,Puttkamner,,
Aleksandr,Puškin,1799,1837
Puškin,Aleksandr,1799,1837
Mihkel,Pung,1876,1941
Mihkel,Pung,1876,1941
Bolesław,Prus,1847,1912
Franz Isidor,Proschko,1816,1891
Theodorus,Prodromus,,
Arkadi,Press,1870,1952
Hindrik,Prants,1858,1932
Aleksei,Potjehhin,1829,1908
Ignati,Potapenko,1856,1929
Jānis,Poruks,1871,1911
Jakob Elias,Poritzky,1876,1935
W.,Popper,,
Olga,Popova,1849,1907
Henrik,Pontoppidan,1857,1943
René de,Pont-Jest,1829,1904
Ivan,Ponomarjov,1844,1904
Elise,Polko,1823,1899
Ksenofont,Polevoi,1801,1867
Emil,Pohl,1824,1901
Edgar Allan,Poe,1809,1849
Jakob,Ploompuu,1872,1948
Aleksei,Pleštšejev,1825,1893
H. du,Plessac,,
,Platon,,
August von,Platen,1796,1835
W.,Pillmann,,
Aloys Jeremias,Piispanen,1832,1904
A. J,Piispanen,,
Etta W.,Pierce,,
Ernst Heinrich,Pfeilschmidt,1809,1894
Heinrich,Pfeil,1835,1899
E.,Petrai,,
Sandör,Petöfi,1823,1849
Sándor,Petőfi,1823,1849
Jean Antoine,Petit-Senn,1792,1870
August Heinrich,Petiskus,1780,1846
,Petiskus,,
Karl,Peterson,1811,1890
Carl,Petersen,1775,1823
Johann Heinrich,Pestalozzi,1746,1827
Emil,Peshkov,,
Emil,Peschkau,1856,1929
Charles,Perrault,1628,1703
V.,Perov,,
Anton von,Perfall,1853,1912
Lotte,Pellheim,,
D,Pedro Alarcon,1833,1891
Julius,Pederzani-Weber,1836,1921
Nikolai,Pazuhhin,1857,1898
Klara,Pause,,
Karl Friedrich,Pauli,1723,1778
J. J.,Jakobi,,
Georg Cristoph,Lichtenberg,1742,1799
Christian Dietrich,Grabbe,1801,1836
Johann Kaspar,Lavater,1741,1801
Christian August Gottlob,Eberhard,1769,1845
Domenico,Passionei,1682,1761
W.,Passauer,,
W.,Parreneu,,
Betty,Paoli,1814,1894
Theodor Hermann,Pantenius,1843,1915
J.,Panov,,
Teuvo,Pakkala,1862,1925
Pietari,Päivärinta,1827,1913
,Pai-Hsing-Tsien,,
P.,P.,,
Eduard Johannes,Õunapuu,1874,
Jakob,Otzen-Hansen,1842,1905
Rodrigues,Ottolengui,1861,1937
C. H.,Otto,,
Wilhelm,Osterwald,1820,1887
J. von,Osta,,
A. A.,Ossipov,,
Friedrich,Oser,1820,1891
Reinhold,Ortmann,1859,1929
A. u,Oršanin,1872,1947
A.,Opperheim,,
Oliver,Goldsmith,1730,1774
,Ohrenberg,,
Anton,Ohorn,1846,1924
Georges,Ohnet,1848,1918
Emil,Ohly,1830,1888
Friedrich Wilhlem Philipp (,Oertel,1798,1867
Leonid,Obolenski,1845,1906
O. v.,Leikner,,
O.,O.,,
Severi,Nuormaa (Nyman),1865,1924
M.,Nuél,,
,Novalis,1772,1801
Willem Gerard van,Nouhuys,1854,1914
Konstantin,Nossilov,1858,1923
H.,Nordmann,,
Max,Nordau,1849,1923
A.,Noël,,
François de,Nion,1856,1923
Carl,Nin,,
,Nikolai I,1841,1921
Nikolai,Gogol,1809,1852
Ivan,Nikitin,1824,1861
,Nievlai,,
Karl Gustav,Nieritz,1795,1876
Gustav,Nieritz,1795,1876
August,Niemann,1839,1919
J.,Nessel,,
Vassili,Nemirovitš-Dantšenko,1849,1936
Nikolai,Nekrassov,1821,1878
Kapitolina,Nazarjeva,1847,1900
Aleksandr,Navrotski,1839,1903
Aapo,Naponen,,
Peter,Nansen,1861,1918
Gustav,Nado,,
,n.,,
Adolf,Mützelburg,1831,1882
Franz Alfred,Muth,1839,1890
Jooseppi,Mustakallio,1857,1923
J.,Mustakallio,,
Johann Karl August,Musäus,1735,1787
,Müller?,,
Wilhelm,Müller,1794,1827
R.,Müller,,
Karl Wilhelm,Müller,1794,1827
Johannes von,Müller,1752,1809
J.,Müller,,
H.,Müller,,
G.,Müller,,
Curt,Müller,1870,1931
Karl,Müllenhoff,1818,1884
,Mühle,,
Theodor,Mügge,1802,1861
Leo Ernst Achilles,Muellenbach,1862,1901
O.,Mozepa,,
Agathe,Moys,,
,Uhlmann,,
Max,D-r,,
Maks,Motan,,
Andreas,Moser,1766,1806
Julius,Mosen,1803,1867
Maks,Mortan,,
Valentin,Morski,,
N.,Moritz,,
A.,Moritz,,
Eduard,Mörike,1804,1875
Jean,Moréas,1856,1910
Thomas,More,1478,1535
Reinhard,Morawitz,,
Dwight Lyman,Moody,1837,1899
Xavier de,Montépin,1823,1902
Maurice,Montégut,1855,1911
Michel de,Montaigne,1533,1592
,Mönch,,
H. von,Moltke,,
Balduin,Möllhausen,1825,1905
Vladimir,Mjatlev,1868,1946
Ivan,Mitropolski,1872,
Octave,Mirbeau,1848,1917
Dmitri,Minajev,1835,1889
John,Milton,1608,1674
J.,Milton,,
A. A.,Milne,1882,1956
Kálmán,Mikszáth,1847,1910
Maria,Mikolina,,
K.,Mihhailov,,
