teaviku_laad,sihtrühm,pealkiri,autor,originaal_pealkiri,Žanr,tõlkija,lähtekeel,lähtekirjandus,toimetaja,ees__järelsõna_autor,ilmumiskoht,kirjastaja,ilmumisaasta,füüsiline_kirjeldus,trükikordus,sarjaandmed,arvustatava_tõlkeraamatu_autor,väljaanne,number_leheküljed,sisu,märkused,id
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Operatsioon ""Fööniks","Prudnikov, Mihhail 1913-1995","Операция ""Феникс",jutustused,"Kuum, Väino",vene,vene,,,,,19751976,,,,,"<p>Rahva Hääl</p>","23.-26., 28.-31. okt.; 2., 4.-5., 7., 11.-14.. 16., 18.-23., 25.-30. nov.; 2., 4.-5., 7., 9.-11., 13.-14., 16.-19., 21., 23.-28., 30.-31. dets.; 1., 4., 6.-11., 13.-18., 20.-25., 27., 29. jaan.; 1., 3.-8., 10.-15. veebr.",,,80264
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Armastuse ohvrid : Roman 3 jaos","Ponomarjov, Ivan 1844-1904","Жертвы любви",romaanid,J.,vene,vene,,,,,19091910,,,,,<p>Hääl</p>,"nr 55-96, 1910 nr 1-10",,"Väljaandes: N. J. Ponomarevi järele J.",46401
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Hipp-hopp,"Poe, Edgar Allan 1809-1849",teadmata,jutustused,"Kvell, Kalevi 1963-2016",inglise,ameerika,,,,,19831984,,,,,"<p>Põllumajanduse Akadeemia</p>","15., 27. dets.; 5. jaan.",,,73853
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Hipp-hopp,"Poe, Edgar Allan 1809-1849",teadmata,jutustused,"Kvell, Kalevi 1963-2016",inglise,ameerika,,,,,19831984,,,,,"<p>Põllumajanduse Akadeemia</p>","15., 27. dets.; 5. jaan.",,,76687
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Salarinne,"Perventsev, Arkadi 1905-1981","Секретный фронт",romaanid,"Huik, Toomas 1931-2020",vene,vene,,,,,19741975,,,,,"<p>Noorte Hääl</p>","27.-30. nov.; 1., 3.-8., 10.-15., 17.-22., 24.-29., 31. dets.; 1., 3.-12., 14.-19., 21.-26., 28.-31. jaan.; 1.-2, 4.-9., 11. veebr.",,,80787
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Stepi päike","Pavlenko, Pjotr 1899-1951","Степное солнце",jutustused,"Puskar, Kaarel 1892-1983",vene,vene,,,,,19501951,,,,,<p>Pioneer</p>,"nr 8, lk 250-252 - nr 12, lk 377-379; 1951, nr 1, lk 22-24 - nr 3, lk 22-23",,,79704
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Kuidas karastus teras","Ostrovski, Nikolai 1904-1936","Как закалялась сталь",romaanid,teadmata,vene,vene,,,,,19401941,,,,,"<p>Saarte Hääl</p>","2. sept. - 30. dets.; 1941, 3. jaan., nr 1, lk 2 - 8. jaan., nr 4, lk 2, 11. jaan., nr 6, lk 2 - 18. jaan., nr 10, lk 2, 24. jaan., nr 12, lk 2 - 29. jaan., nr 15, lk 2, 1. veebr., nr 17, lk 2 - 14. veebr., nr 24, lk 2, 17. veebr., nr 26, lk 2, 24. veebr.",,"Algus ajalehes Meie Maa 2. sept., nr 133 - 30. sept., nr 149",54610
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Kuidas karastus teras","Ostrovski, Nikolai 1904-1936","Как закалялась сталь",romaanid,teadmata,vene,vene,,,,,19401941,,,,,"<p>Narva Tööline</p>","20. sept. - 31. dets.; 1941, 2. jaan., nr 1, lk 2 - 9. jaan., nr 4, lk 2, 14. jaan., nr 7, lk 2, 18. jaan., nr 9, lk 2",,"1. osa lõpp",54611
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Valge daame : Roman Hohenzollernite elust [Valge daam]","Noussane, Henry de 1865-1936","La Dame de Potsdam",romaanid,"Jaks, Johan 1867-1917",teadmata,prantsuse,,,,,19151916,,,,,<p>Uusleht</p>,"nr 291-298; 1916, nr 1-71, 73-103",,"Väljaandes: De Noussan'i järele Joh. Jaks",71197
Tõlkeraamat,"Täiskasvanute ilukirjandus","Kroonitud timukad ehk Suure Europa Sõja saladused : Ajalooline roman kolmes jaos","Neradov, J","Коронованные палачи, или, Тайны Великой Европейской войны",romaanid,"Lind, J.",vene,vene,,,Valga,"J. Kurg",19141915,"299 lk",,,,,,,"Raamatus: J. Neradowi järele wenekeelest J. Lind. [Ilmunud annetena 1-22]",84146
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus",,"Nemtsov, Vladimir 1907-1994","Тень под землей","jutustused; ulmeromaanid",teadmata,vene,vene,,,,,19481949,,,,,<p>Säde</p>,"9. dets., nr 50, lk 4 - 16. dets., nr 51, lk 4; 1949, 6. jaan., nr 1, lk 4 - 3. veebr., nr 5, lk 4; 17. veebr., nr 7, lk 4; 3. märts, nr 9, lk 4 - 17. märts, nr 11, lk 4; 31. märts, nr 13, lk 4 - 14. apr., nr 15, lk 4",,,74599
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",FD,"Nassuštšenko, Vladimir 1930-2002",teadmata,jutustused,"Tali, Thelma",vene,vene,,,,,19831984,,,,,"<p>Töörahva Lipp</p>","22., 24.,27., 29. dets.; 3., 5. jaan.",,,73845
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",FD,"Nassuštšenko, Vladimir 1930-2002",teadmata,jutustused,"Tali, Thelma",vene,vene,,,,,19831984,,,,,"<p>Töörahva Lipp</p>","22., 24.,27., 29. dets.; 3., 5. jaan.",,,76679
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Kapten Mereroos ja tema lapsed","Möllhausen, Balduin, 1825-1905",teadmata,romaanid,V-er.,saksa,saksa,,,,,19091910,,,,,"<p>Aeg : Kirjandusline lisa</p>","nr 142, lk 1037-1038 - nr 162, lk 1191-1196; 1910: nr 1/2, lk 3-8 - nr 35, lk 266-270",,,32200
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Kapten Mereroos ja tema lapsed","Möllhausen, Balduin, 1825-1905",teadmata,romaanid,V-er,saksa,saksa,,,,,19091910,,,,,"<p>Päevaleht : Kirjandusline lisa</p>","nr 259, lk 1031-1033 - nr 300, lk 1096-1099; 1910: nr 1-67",,,32213
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Kollane mask","Miziiski, Nikolai",teadmata,jutustused,"Kaldaru, Hella",vene,bulgaaria,,,,,19831984,,,,,<p>Säde</p>,"19., 22., 29. okt.; 2., 12., 16., 23., 26. nov.; 3., 7., 10., 14., 17., 24. dets.; 4., 7., 14., 21., 28. jaan.; , 4., 8., 11., 15., 25., 29. veebr.; 3. märts",,,73860
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Kollane mask","Miziiski, Nikolai",teadmata,jutustused,"Kaldaru, Hella",vene,bulgaaria,,,,,19831984,,,,,<p>Säde</p>,"19., 22., 29. okt.; 2., 12., 16., 23., 26. nov.; 3., 7., 10., 14., 17., 24. dets.; 4., 7., 14., 21., 28. jaan.; , 4., 8., 11., 15., 25., 29. veebr.; 3. märts",,,76694
Tõlkeraamat,"Täiskasvanute ilukirjandus","Tuulest viidud. 2.","Mitchell, Margaret 1900-1949","Gone with the Wind",romaanid,teadmata,inglise,ameerika,,,Tallinn-Nõmme,teadmata,19551956,"524 l",,,,,,,"Masinkirja paljundus, tekst ühel leheküljel",68951
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Kodulinnas,"Millard, Kenneth",teadmata,jutustused,teadmata,vene,ameerika,,,,,19721973,,,,,"<p>Leninlik Lipp</p>","18., 21.-24., 28.-30. nov.; 1., 5., 7.-8., 12.-15., 19.-21., 23., 26.-29. dets.; 3.-6., 9.-13., 16.-20., 23.-27., 30.-31. jaan.; , 1.-2., 6.-10., 13.-16., 20., 22. veebr.",,,82214
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Peeter Suur ja Aleksei","Merežkovski, Dmitri 1866-1941","Петр и Алексей",romaanid,"Haava, Anna 1864-1957",vene,vene,,,,,19071908,,,,,<p>Postimees</p>,"nr 121-147; 1908: nr 1-14, 16-67",,,46359
Tõlkeraamat,"Täiskasvanute ilukirjandus","Wagga Jenowewa ajalik elloaeg","Marbach, Gotthard Oswald 1810-1890","Geschichte von der heiligen Pfalzgräfin Genoveva. Eesti keeles",jutud,"Kreutzwald, Friedrich Reinhold 1803-1882",saksa,saksa,,,Tartu,"H. Laakmann",18521858,"68 lk, 17 cm",,,,,,,"Autor ja tõlkija märkimata",70354
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Lipud tornides","Makarenko, Anton 1888-1939","Флаги на башнях",romaanid,teadmata,vene,vene,,,,,19401941,,,,,"<p>Noorte Hääl</p>","1., 3.-5., 7.-8., 10.-15., 17.-22., 25., 28.-31. dets.; 1941, 1., 3.-5., 7.-12., 14.-19., 21., 24., 25.-26., 28.-31. jaan., 1.-2., 4.-5., 7.-9., 11.-15., 18.-22., 25.-28. veebr., 1.-2., 4.-9., 11.-14., 16., 18.-23., 25.-29. märts",,,54587
Tõlkeraamat,"Täiskasvanute ilukirjandus","Jerry : romaan","London, Jack 1876-1916",Jerry,romaanid,"Herms, August",inglise,ameerika,,,Tallinn,Elu,19281929,"2 osa (205, [2] lk.)",,"Elu lugemisvara, nr. 28; Elu lugemisvara, nr. 29",,,,,"Tõlkija Herms, August. Allikas: Eesti raamatute üldnimestik 1928 nr. 1019; I osa: 96 lk., II osa: lk. 97-205, [2]; Jack London - pseud.",44664
Tõlkeraamat,"Täiskasvanute ilukirjandus","Raudteehulkrud : seiklussõidud läbi Põhja-Ameerika","London, Jack 1876-1916",teadmata,romaanid,"Herms, August",inglise,ameerika,,,Tallinn,teadmata,19281929,"2 osa (173, [1] lk.)",,"Elu lugemisvara, nr. 19; Elu lugemisvara, nr. 20",,,,,"Tõlkija Herms, August. Allikas: Eesti raamatute üldnimestik 1928 nr. 26; ilmunud ka eraldi: 1. osa: 96 lk., 2. osa 97-173 lk.; Jack London - pseud.",44679
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Triaadi vari","Levin, Andrei 1944-2000",teadmata,romaanid,"Piirimaa, Matti 1937-",vene,vene,,,,,19771978,,,,,"<p>Noorte Hääl</p>","24.-25., 27.-31. dets.; 1., 3.-8., 10.-15., 17.-22., 24.-29., 31. jaan.; 1.-5. veebr.",,"Teksti lõpus: Tõlkija P. Matt",78700
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Lukuauk : [ulmejutustus]","Leinster, Murray 1896-1975",teadmata,jutustused,"Valdre, Külli",inglise,ameerika,,,,,19841985,,,,,"<p>Pedagoogiline Instituut</p>","21., 28. dets.; 25. jaan., 10. veebr.; 15., 22., 29. märts",,,73607
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Lukuauk : [ulmejutustus]","Leinster, Murray 1896-1975",teadmata,jutustused,"Valdre, Külli",inglise,ameerika,,,,,19841985,,,,,"<p>Pedagoogiline Instituut</p>","21., 28. dets.; 25. jaan., 10. veebr.; 15., 22., 29. märts",,,76443
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Põgenik,"Leante, César 1928-2013",teadmata,jutustused,"Pärni, Jüri 1939-2009",vene,kuuba,,,,,19761977,,,,,<p>Õhtuleht</p>,"23.-25., 27.-31. dets.; 3.-8., 10.-13. jaan.",,,80760
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Üksik haud","Lagerlöf, Selma 1858-1940",teadmata,jutud,"Buk, Villem 1879-1941",teadmata,rootsi,,,,,19061907,,,,,"<p>Hüüdja ei ole selles</p>","23. dets., nr 1, lk 3-4; 1907 : 13. jaan., nr 1, lk 7-8; 20. jaan., nr 3, lk 11",,"Väljaandes: eesti keelde V. B. [pseud = Buk, Villem]",44076
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Vana talunaene [Vana talunaine]","Lagerlöf, Selma 1858-1940",teadmata,jutud,"Mauer, August 1862-1925",rootsi,rootsi,,,,,19019,,,,,<p>Lasteleht</p>,"nr 9, lk 129-135; nr 10, lk 145-150",,"Väljaandes: Selma Lagerlöfi järele tõlkinud Mats. [Mats (pseud.) = Mauer, August]",44153
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Teekond jätkub","Kulešov, Aleksandr 1921-1990",teadmata,jutustused,"Amos, Ralf",vene,vene,,,,,19791980,,,,,"<p>Harju Elu</p>","23., 25., 27., 30. okt.; 1., 3., 6., 15., 17., 20., 22., 27., 30. nov.; 1., 4., 6., 8., 11., 13., 18., 20., 22., 29. dets.; 3., 5., 8., 12., 15., 17. jaan.",,"Ajakirjast Советская милиция",78005
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Lähen vennale vastu : ulmejutustus","Krapivin, Vladislav 1938-2020",teadmata,jutustused,"Kokk, Kädi 1938-2006",vene,vene,,,,,19841985,,,,,<p>Säde</p>,"24. nov.; 1., 5., 8., 12., 15., 22., 26. dets.; 3., 5., 9. jaan.",,Lühendatult,73592
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Lähen vennale vastu : ulmejutustus","Krapivin, Vladislav 1938-2020",teadmata,jutustused,"Kokk, Kädi 1938-2006",vene,vene,,,,,19841985,,,,,<p>Säde</p>,"24. nov.; 1., 5., 8., 12., 15., 22., 26. dets.; 3., 5., 9. jaan.",,Lühendatult,76428
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Operatsioon ""Soobel","Korotejev, Nikolai 1927-1978",teadmata,jutustused,teadmata,vene,vene,,,,,19871988,,,,,<p>Säde</p>,"2., 5., 9., 12., 16., 19., 23. dets.; 6., 9., 13., 16., 20., 23., 27. jaan.; 3., 6., 10., 13., 17., 20. veebr.",,,72855
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Operatsioon ""Soobel","Korotejev, Nikolai 1927-1978",teadmata,jutustused,teadmata,vene,vene,,,,,19871988,,,,,<p>Säde</p>,"2., 5., 9., 12., 16., 19., 23. dets.; 6., 9., 13., 16., 20., 23., 27. jaan.; 3., 6., 10., 13., 17., 20. veebr.",,,75692
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Mõrvar on meie hulgas","Kleine, Dorothea 1928-2010",teadmata,romaanid,teadmata,teadmata,saksa,,,,,19731974,,,,,"<p>Nõukogude Hiiumaa</p>","12., 15., 17., 20., 22., 24., 27., 29. nov.; 1., 4., 8., 11., 13., 15., 18., 20., 22., 25., 27., 29., 31. dets.; 3., 5., 8., 12., 15., 17., 19., 22., 24., 26., 29., 31. jaan.; 2., 5., 7., 9., 12., 14., 16., 19, 21., 23., 26., 28. veebr.; 2., 5., 7., 10., ",,,81486
Tõlkeraamat,"Täiskasvanute ilukirjandus","Kim : [romaan]","Kipling, Rudyard 1865-1936",Kim,romaanid,"Sillaots, Marta 1887-1969",inglise,inglise,,,Tartus,Valik,19331934,"2 osa (432 lk.)",,,,,,,"Marta Sillaots, pseud. = Marta Rannat (sünd. Reichenbach, abielludes Gerland, eestistatult Rannat)",44958
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Valendab üksik puri","Katajev, Valentin 1897-1986","Белеет парус одинокий",romaanid,"Hange, Eugen 1910-1955",vene,vene,,,,,19461947,,,,,"<p>Eesti Naine</p>","nr 1, lk 23-35, nr 2, lk 61-67, nr 3, lk 102-105, nr 4, lk 129-133, nr 5/6, lk 176-181, nr 7, lk 215-219, nr 8, lk 246-250, nr 9, lk 276-283, nr 10, lk 312-313, nr 11, lk 342-344, nr 12, lk 374-377; 1947, nr 1, lk 24-25, nr 2, lk 56-57, nr 3, lk 86-89, nr",,"Romaani edasise sisu kokkuvõte nr 4, lk 112-113",72183
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Polgu poeg","Katajev, Valentin 1897-1986","Сын полка",jutustused,"Kõlli, Friedrich 1901-1978",vene,vene,,,,,19461947,,,,,<p>Pioneer</p>,"nr. 1, lk. 9-19; nr. 2, lk. 42-46; nr. 3, lk. 75-79, 82; nr. 4/5, lk. 111, 114—117; nr. 6, lk. 147—150; nr. 7, lk. 185—187; nr. 8, lk. 217— 220; nr. 9, lk. 241—245; nr. 10, lk. 282—284; nr. 11/12, lk. 328—330; 1947, nr. 1, lk. 18-21; nr. 2/3",,"Tõlkijat ei ole nimetatud",72286
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Noorema poja tänav","Kassil, Lev 1905-1970; Poljanovski, Maks 1901-1977","Улица младшего сына",jutustused,"Dahlberg, Alide 1891-1981",vene,vene,,,,,19491950,,,,,<p>Säde</p>,"2. juuni, nr 22, lk 4 - 9. juuni, nr 23, lk 4; 23. juuni, nr 25, lk 4 - 30. juuni, nr 26, lk 4; 14. juuli, nr 28, lk 4; 28. juuli, nr 30, lk 4 - 11. aug., nr 32, lk 4; 25. aug., nr 34, lk 4 - 1. sept., nr 35, lk 4; 15. sept., nr 37, lk 4; 29. sept., nr 39",,"[Andmed tõlkija kohta e-kataloogist ESTER]",75032
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Neljajalgne miljonär","Jurjev, Zinovi, 1925-2020",teadmata,jutustused,teadmata,vene,vene,,,,,19881989,,,,,<p>Pioneer</p>,"nr 1, lk 33-35; nr 2, lk 33-35; nr 3, lk 32-34; nr 4, lk 33-35; nr 5, lk 33-35; nr 6, lk 33-35; nr 7, lk 33-35; nr 8, lk 33-35; nr 9, lk 33-35; nr 10, lk 33-35; nr 11, lk 33-35; nr 12, lk 33-35",,,72669
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Neljajalgne miljonär","Jurjev, Zinovi, 1925-2020",teadmata,jutustused,teadmata,vene,vene,,,,,19881989,,,,,<p>Pioneer</p>,"nr. 1, lk 33-35; nr 2, lk 33-35; nr 3, lk 32-34; nr 4, lk 33-35; nr 5, lk 33-35; nr 6, lk 33-35; nr 7, lk 33-35; nr 8, lk 33-35; nr 9, lk 33-35; nr 10, lk 33-35; nr 11, lk 33-35; nr 12, lk 33-35",,,75506
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Valge mürk : fantastiline romaan-pamflett","Jurjev, Zinovi 1925-2020","Белое снадобье",romaanid,teadmata,vene,vene,,,,,19731974,,,,,"<p>Leninlik Lipp</p>","19., 23.-26., 30.-31. okt.; 1.-2., 7., 12.-16., 20., 22.-24., 27.-30. nov.; 1., 4.-5., 7.-8., 11.-15., 18.-21., 25.-26., 28., 31. dets.; 3.-4., 8.-11., 15.-18., 22.-26., 29.-31. jaan.; 1.-2., 5.-8., 12.-13. veebr.",,,81448
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Valevanne,"Jobst, J.",teadmata,romaanid,teadmata,teadmata,teadmata,,,,,19071908,,,,,"<p>Kirjandusline lisa : [Päevalehe ja ajalehe Aeg kaasanne]; Päevaleht</p>","nr 132-164; Romaan jätkus 1908 Päevalehes nr 1-2, 7",,"Väljaandes: J. Jobsti romaan",65115
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Skeletirannik,"Jenkins, Jeffrey",teadmata,jutustused,"Matt, Peeter",inglise,inglise,,,,,19861987,,,,,<p>Õhtuleht</p>,"18.-19., 22.-26., 29.-30. dets.; 5.-8., 10., 12.-17., 19.-24., 26.-30. jaan.; 2.-7., 9.-13., 16., 18. veebr.",,,73089
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Skeletirannik,"Jenkins, Jeffrey",teadmata,jutustused,"Matt, Peeter",inglise,inglise,,,,,19861987,,,,,<p>Õhtuleht</p>,"18.-19., 22.-26., 29.-30. dets.; 5.-8., 10., 12.-17., 19.-24., 26.-30. jaan.; 2.-7., 9.-13., 16., 18. veebr.",,,75926
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus",Torm,"Jefimov, Igor 1937-2020",teadmata,jutustused,"Lott, Mare 1934-",vene,vene,,,,,19771978,,,,,<p>Säde</p>,"7., 10., 14., 21., 24., 28. dets.; 4., 7., 14., 21., 28. jaan.; 1., 4.,11., 18. veebr.; 1., 11., 15., 22., 29. märts",,,78719
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Tütarlaps Sable’i saarelt","Ivanov, Juri 1928-1994","Девочка с острова Сейбл",jutustused,"Tänavsuu, Hille 1941-2014",vene,vene,,,,,19821983,,,,,"<p>Harju Elu</p>","16., 18., 20., 23., 25., 30. nov.; 2., 4., 7., 11., 14., 16., 18.. 21.. 23., 28., 30. dets.; 1., 4., 6., 8., 11., 13. jaan.",,"Kogumikust ""Океан",77011
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Ühekordne Ameerika","Ilf, Ilja 1897-1937; Petrov, Jevgeni 1902-1942","Одноэтажная Америка",reisikirjad,"Tuglas, Friedebert 1886-1971",vene,vene,,,,,19401941,,,,,<p>Looming</p>,"nr 9, lk 934-955, nr 10, lk 1058-1084; 1941, nr 1, lk 45-69, nr 2, lk 153-172, nr 3, lk 302-324, nr 4, lk 436-456, nr 5/6, lk 677-697",,"Jääb pooleli",54545
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Eriülesandega üle rindejoone","Ignatov, Pjotr 1894-1984",teadmata,jutustused,"Pärni, Jüri 1939-2009",vene,vene,,,,,19761977,,,,,"<p>Rahva Hääl</p>","21.-22., 24.-26., 28., 30.-31. dets.; 1., 4.-9., 11.-16., 18.-23., 25.-30. jaan.; 1.-6., 8.-13., 15.-20., 22.-27. veebr.; 1.-6., 8., 10.-13., 16.-18. märts",,,79061
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Kadunud jäljed","Hume, Fergus 1856-1932","The Carbuncle Clue",romaanid,teadmata,teadmata,inglise,,,,,19101911,,,,,<p>Virulane</p>,"nr 296-299; 1911, nr 1-12, 14-20, 22-45, 47-50, 52-54",,,71172
Tõlkeraamat,"Täiskasvanute ilukirjandus","Stenka Rasin : [romaan]","Hruštšov-Sokolnikov, Gavriil 1845-1890","Стенька Разин",romaanid,teadmata,vene,vene,,,Tartu,Anderomaan,19371938,"8 annet (263 lk.)",,,,,,,"Väljaandes: G. Hruštškov-Sokolnikov",57794
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Lummurid,"Horan, James David 1914-1981",teadmata,romaanid,"Vaga, M.",teadmata,ameerika,,,,,19751976,,,,,"<p>Küsimused ja Vastused</p>","nr 22, lk 42-48; nr 23, lk 45-48; nr 24, lk 38-41; nr 1, lk 43-48; nr 2, lk 42-48; nr 3, lk 44-48; nr 4, lk 43-47; nr 5, lk 43-48; nr 6, lk 43-48; nr 7, lk 45-48; nr 8, lk 42-46; nr, lk 44-48; nr. 10, lk 42-48; nr 11, lk 44—47; nr 12, lk 40-46; nr 13, l",,,80297
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Babett armastab? : romaan","Holland, Katrin 1914-1981",teadmata,romaanid,teadmata,saksa,saksa,,,Viljandi,"Oma Maa",19341935,"124 lk.",,,,"<p>Oma Maa</p>",,,"Holland, Katrin, ps = Albrand, Martha = (Freybe) Loewengard, Heidi Huberta. Ajalehe joonealune",57098
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Loomaarstist lenduriks","Herriot, James 1916-1995",teadmata,jutustused,"Aiaots, J.",inglise,inglise,,,,,19891990,,,,,"<p>Eesti Loomaarstlik Ringvaade</p>","nr 1, lk 31-36; nr 2, lk 41-44; nr 1, lk 59-62",,,72515
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Loomaarstist lenduriks","Herriot, James 1916-1995",teadmata,jutustused,"Aiaots, J.",inglise,inglise,,,,,19891990,,,,,"<p>Eesti Loomaarstlik Ringvaade</p>","nr 1, lk 31-36; nr 2, lk 41-44; nr 1, lk 59-62",,,75354
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Tasandatud teel","Hedenstierna, Alfred 1852-1906",teadmata,jutud,"Liblik, Aleksander 1877-1924",rootsi,rootsi,,,,,11910,,,,,"<p>Eesti Kodu</p>","nr 15, lk 305-307",,"Väljaandes: Rootsi kirjaniku Alfred af Hedenstjerna järele A. Liblik",44173
Tõlkeraamat,"Täiskasvanute ilukirjandus","Wabrikuneiu : romaan suurlinna saladustest (Vabrikuneiu)","Haimer, Victor",teadmata,romaanid,teadmata,saksa,saksa,,,Tallinn,"J. E. Meigas",9223372036854775807,"48 annet (1544 lk.)",,,,,,,,57779
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Pavlik Morozov","Gubarev, Vitali 1912-1981","Павлик Морозов",jutustused,"Kuusberg, Berta 1921-1998",vene,vene,,,,,19471948,,,,,<p>Pioneer</p>,"nr 11, lk 326-329; nr 12, lk 357-359; 1947, nr. 1, lk. 25-27; nr. 2, lk. 58-60; nr. 3, lk. 89-90",,"Andmed tõlkija kohta: e-kataloog ESTER",74277
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Alistumatud (Tarassi perekond)","Gorbatov, Boriss 1908-1954",Непокоренные,romaanid,"Urgart, Oskar 1900-1953",vene,vene,,,,,19441945,,,,,<p>Talurahvaleht</p>,"5. dets., nr 36 - 29. dets., nr 46; 1945, 3. jaan., nr 1 - 7. jaan., nr 3, 12. jaan., nr 5 - 14. jaan., nr 6, 19. jaan., nr 8 - 21. jaan., nr 9, 26. jaan., nr 11, 2. veebr., nr 14 - 4. veebr., nr 15, 11. veebr., nr 18, 16. veebr., nr 20, 27. veebr., nr 25",,,67290
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Sõprus,"Gorbatov, Boriss 1908-1954",Дружба,jutustused,teadmata,vene,vene,,,,,19471948,,,,,"<p>Stalinlik Noorus</p>","nr 11, lk 508-509; nr 12, lk 568-569; 1948, nr 1, lk 40-41",,,72443
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Erakordne juhtum","Golovtšenko, Ivan 1918-1992",teadmata,jutustused,teadmata,vene,ukraina,,,,,19711972,,,,,"<p>Punane Täht</p>","16., 18., 21., 23., 25., 28., 30. dets.; 4., 6., 8., 11., 13. jaan.",,"Ajakirjast Огонек",82950
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Keerdsõlm,"Gardner, Erle Stanley 1889-1970",teadmata,jutustused,teadmata,inglise,ameerika,,,,,19811982,,,,,"<p>Harju Elu</p>","17., 20., 22., 24., 27., 31. okt.; 3., 12., 14., 21., 24., 26., 28. nov.; 1., 3., 5., 10., 12., 15., 19., 24., 26., 31. dets.; 5., 7., 9., 12., 14., 16., 19., 21., 23., 26., 28. jaan.; 2., 4., 9., 11., 13., 16., 18., 20., 23,, 25. veebr.; 2., 6., 11., 16.",,,77388
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Tšuk ja Gek","Gaidar, Arkadi 1904-1941","Чук и Гек",jutustused,teadmata,vene,vene,,,,,19461947,,,,,<p>Pioneer</p>,"nr 11/12, lk 326-327; 1947, nr 1, lk 24-26; nr 2/3, lk 67-69; nr 4, lk 102-103",,,72281
