teaviku_laad,sihtrühm,pealkiri,autor,originaal_pealkiri,Žanr,tõlkija,lähtekeel,lähtekirjandus,toimetaja,ees__järelsõna_autor,ilmumiskoht,kirjastaja,ilmumisaasta,füüsiline_kirjeldus,trükikordus,sarjaandmed,arvustatava_tõlkeraamatu_autor,väljaanne,number_leheküljed,sisu,märkused,id
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Komissari öö","Vutšetitš, Viktor 1935-2011",teadmata,jutustused,teadmata,vene,vene,,,,,19771978,,,,,"<p>Nõukogude Hiiumaa</p>","17., 20., 22., 24., 27., 29. sept.; 1., 4., 6., 8., 11., 13., 18., 20., 22., 27., 29. okt.; 4., 6., 8., 11., 13., 18., 20., 22., 27., 29. okt.; nov.; 20., 22., 24., 27., 29. dets.; 3., 5., 7., 10., 12., 14., 17., 19., 21., 24., 28., 31. jaan.",,"Ajakirja Вокруг света lisast Искатель",78704
Tõlkeraamat,"Täiskasvanute ilukirjandus","Itaalia röövlipääliku Rinaldo Rinaldini seiklused : [romaan]","Vulpius, Christian August 1762-1827","Rinaldo Rinaldini, der Räuberhauptmann",romaanid,teadmata,saksa,saksa,,,Tartu,Rada,19381939,"46 annet (723 lk.)",,,,,,,"Kaanepealkiri: Rinaldo Rinaldini, alates 6. andest: Röövlipealik Rinaldo Rinaldiini",57796
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Lugu savikukkedest","Vassilenko, Ivan 1895-1966",teadmata,jutustused,teadmata,vene,vene,,,,,19501951,,,,,<p>Säde</p>,"15. juuni, nr 24, lk 4 - 29. juuni, nr 26, lk 4; 20. juuli, nr 29, lk 4; 3. aug., nr 31, lk 4; 17. aug., nr 33, lk 4 - 31. aug., nr 35, lk 4; 14. sept., nr 37, lk 4 - 21. sept., nr 38, lk 4; 5. okt., nr 40, lk 4; 26. okt., nr 43, lk 4; 10. nov., nr 45, lk",,,79718
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Kohtumispaika ei saa muuta","Vainer, Arkadi 1931-2005; Vainer, Georgi 1938-2009","Место встречи изменить нельзя",romaanid,"Odar, I.",vene,vene,,,,,19751976,,,,,"<p>Leninlik Lipp</p>","23.-25., 28.-31. okt.; 1., 4.-7., 11.-15., 18.-19., 21. 22., 25. 29. nov.; 2.-5, 9, 11.-13, 16.-19, 23.-27, 30. dets.; 1., 5..10., 13.-17., 20.-24., 27.-31. jaan.; 3.-7., 10., 12.-14., 17.-20., 25.-28. veebr.; , 2.-5., 10.-13., 16.-18., 23.-25. märts",,"Pealkirja ees autor: Vennad Vainerid. Ajakirjast Смена",80274
Tõlkeraamat,"Laste- ja noortekirjandus","Kuningate võsu","Treller, Franz 1843-1908","Der Enkel der Könige",jutustused,"Sander, Jursi 1890-1942",saksa,saksa,"Sander, Jursi 1890-1942",,Tallinn,"Tallinna Eesti Kirjastus-Ühisus",19251926,"227, [1] lk.",,,,,,,"Raamatus: noorsoole toimetanud Jursi Sander; Jursi Sander, ps = Victor Neggo. Juurdetrükk? 1926",57780
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Põrgu ärahävitamine ja uuesti ülesehitamine","Tolstoi, Lev 1828-1910","Разрушение ада и восстановление его",jutud,"Käger, Hans 1872-1940",vene,vene,,,,,19061907,,,,,"<p>Kodumaa ja Maa kirjandusline lisa</p>","1906/1907, nr 1; 1907, nr 2-4",,,32722
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Tapmise kunst une läbi",teadmata,teadmata,jutud,"Franzdorf, Tõnu 1862-1940",teadmata,ameerika,,,,,19071908,,,,,"<p>Kaja : politikaline, majandusline ja kirjandusline ajaleht</p>","31. dets., nr 1, lk 3 - 1908, 10. juuni., nr 5",,"Väljaandes . Ameerika salapolitseiniku Natus Pinkerton ehk Sherlok Holmes'e päevaraamat. Eesti keelde M. J. Franzdorf [pseud = Tõnu Franzdorf]",33377
Tõlkeraamat,"Täiskasvanute ilukirjandus","Läbi piksepilvede Claudia juure!",teadmata,teadmata,romaanid,"L. K.",saksa,saksa,,,Kuressaare,"Meie Maa",19361937,"172 lk.",,,,,,,"Väljaandes: saksa keelest L. K. Ajalehe joonealune : Meie Maa 1936-1937",57273
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Mitridati jalamil","Suvorina, Jekaterina","У горы Митридат",jutustused,"Jaaksoo, Andres 1945-2021",vene,vene,,,,,19721973,,,,,<p>Säde</p>,"29. nov.; 2., 7., 13., 16., 20., 27. dets.; 3., 6., 10., 17., 24., 31. jaan.; 7., 14., 17., 21., 28. veebr.; 7., 14., 21., 28. märts; 4., 11., 14. apr.",,,82234
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Põrnikas sipelgapesas","Strugatski, Arkadi 1925-1991; Strugatski, Boriss 1933-2012",teadmata,jutustused,teadmata,vene,vene,,,,,19851986,,,,,<p>Pioneer</p>,"nr 9, lk 32-34; nr 10, lk 32-34; nr 11, lk 32-34; nr 12, lk 32-34; nr 1, lk 32-33; nr 2, lk 32-34; nr 3, lk 32-33; nr 4, lk 32-33; nr 5, lk 32-33; nr 6, lk 30-32; nr 7, lk 30-32; nr 8, lk 32-34; nr 9, lk 34-35",,,73344
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Põrnikas sipelgapesas","Strugatski, Arkadi 1925-1991; Strugatski, Boriss 1933-2012",teadmata,jutustused,teadmata,vene,vene,,,,,19851986,,,,,<p>Pioneer</p>,"nr 9, lk 32-34; nr 10, lk 32-34; nr 11, lk 32-34; nr 12, lk 32-34; nr 1, lk 32-33; nr 2, lk 32-34; nr 3, lk 32-33; nr 4, lk 32-33; nr 5, lk 32-33; nr 6, lk 30-32; nr 7, lk 30-32; nr 8, lk 32-34; nr 9, lk 34-35",,,76180
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Asustatud saar","Strugatski, Arkadi 1925-1991; Strugatski, Boriss 1933-2012",teadmata,jutustused,teadmata,vene,vene,,,,,19801981,,,,,<p>Pioneer</p>,"nr 1, lk 32-35; nr 2; nr 3, lk 33-35; nr 4, lk 40-43; nr 5, lk 26-27; nr 6, lk 32-35; nr 7, lk 32-35; nr 8, lk 32-35; nr 9, lk 32-35; nr 10, lk 30-33; nr 11, lk 32-34; nr 12, lk 34-35; nr 1, lk 34-35",,,77702
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Mõrv muuseas","Steinberg, Werner 1913-1992",teadmata,jutustused,teadmata,saksa,saksa,,,,,19731974,,,,,"<p>Töörahva Lipp</p>","17., 19., 21., 24., 26., 28., 31. juuli; 2., 4., 7., 9., 14., 16., 18., 21., 23., 25., 28., 30. aug.; 1., 4, 6., 8., 11., 13., 15., 18., 20., 22., 25, 27, 29. sept.; 2., 6., 9., 11, 13., 16., 18., 20., 23., 25., 27., 30. okt.; 1., 3., 6., 13., 15., 17., 2",,"Väljaandest Roman-Zeitung, nr 253",81497
