name,birth_year,death_year
"Tšjumina, Olga",1864.0,1909.0
"Tšemisov, Leonti",1857.0,1939.0
"Tšehhov, Anton",1860.0,1904.0
Tscheldon,,
"Trueba, Antonio",1819.0,1889.0
"Trojan, Johannes",1837.0,1915.0
"Treumann, Ernst",,
"Treu, Ewa",,
"Treburg-Arminius, G.",,
"Tovote, Heinz",1864.0,1946.0
Tournier,,
"Topelius, Zacharias",1818.0,1898.0
"Tolstoi, Lev",1828.0,1910.0
"Tolstoi, Aleksei",1817.0,1875.0
"Toll, Feliks-Emmanuel",1823.0,1867.0
"Todtenhaupt, Louise",,
"Tjuttšev, Fjodor",1803.0,1873.0
"Tissandier, Gaston",1843.0,1899.0
"Tinseau, Léon de",1844.0,1921.0
"Tiedge, Christoph August",1752.0,1841.0
"Tieck, Ludwig",1773.0,1853.0
"Thorshewski, K.",,
"Thieme, Friedrich",1862.0,1945.0
Thevriet-Thennert,,
"Tervo, Liisa",1863.0,1936.0
"Tern, W.",,
"Tenso, Leon de",,
"Tenner, C.",,
"Temme, Jodocus Donatus Hubertus",1798.0,1881.0
"Taube, Irene von",,
"Tastu, Amable",1798.0,1885.0
"Tasso, Torquato",1544.0,1595.0
Tarrund,,
"Tanera, C.",,
"Talvio, Maila",1871.0,1951.0
"Szomaházy, István",1864.0,1927.0
"Szalóczy, Bartholomäus",,
"Sylva, Carmen",1843.0,1916.0
"Sydow, Theodor",1773.0,1855.0
"Sydow, Margarethe von",1869.0,1945.0
"Swinden, Herbert",,
"Świętochowski, Aleksander",1849.0,1938.0
"Svetlov, V.",,
"Süttner, von",,
"Suttner, Bertha von",1843.0,1914.0
"Suttner, Arthur Gundaccar von",1850.0,1902.0
"Surnakov, K.",,
Suonio,,
"Suomalainen, Kaarle Kustas Samuli",1850.0,1907.0
Sula,,
"Šukšin, Vassili",1929.0,1974.0
"Suits, Gustav",1883.0,1956.0
"Sue, Eugène",1804.0,1857.0
"Sudermann, Hermann",1857.0,1928.0
"Suburg, Lilli",1841.0,1923.0
"Sturm, Julius",1816.0,1896.0
Stud. R.,,
"Strodtmann, Adolf",1829.0,1879.0
"Strindberg, August",1849.0,1912.0
"Stretton, Hesba, pseud.",1832.0,1911.0
"Stratz, Rudolf",1864.0,1935.0
"Straparola, Giovanni Francesco u.",1480.0,1557.0
"Storm, Theodor",1817.0,1888.0
Storm,,
"Stolle, Ferdinand",1806.0,1872.0
"Stolberg-Stolberg, Friedrich Leopold zu,",1750.0,1819.0
"Stökl, Helene",,
"Stockton, Frank Richard",1834.0,1902.0
"Stöber, K.",,
"Stieler, Karl",1842.0,1885.0
"Stevenson, Robert Louis",1850.0,1894.0
"Stern, Adolf",1835.0,1907.0
"Stenglin, Felix von",1860.0,1941.0
"Stelzner, Alfred",,
"Stelzner, A.",,
"Stein, Heinrich",1844.0,1904.0
Stefanovitsch,,
"Stavenow, Bernhard",1848.0,1890.0
"Stahl, M.",,
Staël von Holstein,,
Sr. G.,,
Spielmann,,
"Spielberg, Hans von",1853.0,1918.0
Speranski,,
"Spaur, Lydia",,
"Sonntag, Karl Gottlob",1765.0,1827.0
"Solovjov, Vsevolod",1849.0,1903.0
"Solovjov, Vladimir",1853.0,1900.0
"Sollogub, Vladimir",1813.0,1882.0
"Sollogub, A. V.",,
Sokrates,469.0,399.0
Sokrates,469.0,399.0
"Komenský, Jan Amos",1592.0,1670.0
"Lavater, Johann Caspar",1741.0,1801.0
Börne,,
"Sokolov, Aleksandr",1840.0,1913.0
"Söderman, August",1832.0,1876.0
"Snjegov, N.",,
"Snellman, Johan Vilhelm",1806.0,1881.0
"Smith, John",,
"Smith, H.",,
"Smiles, Samuel",1812.0,1904.0
"Sládek, Josef Václav",1845.0,1912.0
"Sivert, L.",,
"Sivers, Jegor von",1823.0,1879.0
"Simonss, Th.",,
"Silwa, Carmen",,
"Herder, Johann Gottfried von",1744.0,1803.0
"Silmann, Theo",,
"Silesius, Heinrich",,
"Silberstein, August",1825.0,1900.0
Siirup,,
Siherwante,,
Signor Saltarino,1863.0,1941.0
"Sienkiewicz, Henryk",1846.0,1916.0
"Siebel, Carl",1836.0,1868.0
Shirazi Saadi,1210.0,
"Sheff, Harry",1861.0,1926.0
"Shakespeare, William",1564.0,1616.0
"B., Karl von",,
"Müller, Joh.",,
"Shafi Vazeh, Mirza (",1794.0,1852.0
"Sevastjanov, A. N.",,
"Seume, Johann Gottfried",1763.0,1810.0
"Sergijev, A.",,
Seneca,4.0,65.0
"Semjonov, Sergei",1868.0,1922.0
"Seimens, C.",,
"Seifried, Henriette",,
"Seidl, Johann Gabriel",1804.0,1875.0
"Seidel, Heinrich",1842.0,1906.0
"Ségur, Louis-Philippe de",1753.0,1830.0
"Seelmann, Theo",,
"Scotchfield, Bertie",,
"Sclächtjuk, N.",,
