name,birth_year,death_year
"Mülbe, Wolf Heinrich von der",1879.0,1965.0
"Muks, Adalbert",,
"Mukerji, Dhan Gopal",1890.0,1936.0
"Muir, Augustus",1892.0,1989.0
Muhsimé Nanim,,
"Mühlen-Schulte, Georg",1882.0,1981.0
"Muhhanov, Nikolai",1882.0,1942.0
"Muenzer, Kurt",,
"Müenzer, K.",,
"Mstislavski, Sergei",1876.0,1943.0
"Moy, Peter",,
"Mowery, W.",,
"Moussignac, Jeanne",,
"Mourat, Jean",,
"Moulin, Pierre",,
"Mouclair, Camille",,
"Motsenko, M.",,
"Mothander, Carl",1886.0,1965.0
"Mostar, Gerhart Hermann",1901.0,1973.0
"Mosse, Erich",,
"Moss, Geoffrey",,
"Moskvin, Nikolai",1900.0,1968.0
"Moskvin, Nikolai",1900.0,1968.0
"Moskvin, N.",,
"Trotha, Thilo von",1851.0,1905.0
"Mosašvili, Ilo",1896.0,1954.0
"Morua, Andre",,
"Morton, Arthur Leslie",1903.0,1987.0
"Morton-Howard, I.",,
"Morris, Lloyd",1893.0,1954.0
"Morris, H.",,
"Morris, G. M.",,
"Morris, G.",,
"Morris, F. W.",,
"Morozov, A.",,
"Móricz, Zsigmond",1879.0,1942.0
"Morgenstern, Hans",1905.0,1965.0
"Morgan, Phyllis",,
"Morgan, Margaret Case",,
"Morgan, M. J.",,
"Morgan, Grace Jones",1984.0,1977.0
"Morehouse Avery, Stephen",1893.0,1948.0
"Mordent, Elinore",,
"Mordaunt, Elinor",1872.0,1942.0
"Morand, Paul",1888.0,1976.0
"Moore, Dorothea",1880.0,1933.0
"Montonen, Paavo",1890.0,1917.0
"Montherlant, Henry de",1896.0,1972.0
"Montgomery, Lucy Maud",1874.0,1942.0
"Montgomery, Florence",1843.0,1923.0
"Montfort, Eugène",1877.0,1936.0
"Montet, J.",,
"Montegau, Gordon",,
"Montagne, Joseph",,
"Mont, Pol de",1857.0,1931.0
"Monko, D.",,
"Moly, Thomas",,
"Moltke, Hedwig von",,
"Molonyay, Dezsö",,
"Molonyay, D.",,
"Molo, Walter von",1880.0,1958.0
"Molner, Henrik de",,
"Molnar, Georg",,
"Molnar, Eugen",,
"Molnár, Erik",1894.0,1966.0
"Molnar, C.",,
"Möller, Max",,
"Möller, G.",,
"Molin, Pelle",1864.0,1896.0
"Molignard, Andre",,
"Moinaux, Jules",1825.0,1899.0
"Mohr, Peter",,
"Mohr, Max",1891.0,1937.0
"Mogard, K.",,
"Mog, Hag Y.",,
"Moering, Diamar",,
"Moeller, Viggo F.",1887.0,1955.0
"Modelaine, Jean",,
"Möbius, Martin Richard",1892.0,1952.0
"Moberg, Vilhelm",1898.0,1973.0
Mnemo,,
"Mitnitškin, I.",,
"Mitchell, Margaret",1900.0,1949.0
"Mistral, Frederi",1830.0,1914.0
"Miškinis, Antanas",1905.0,1983.0
"Mironov, Mihhail",,
"Mirer, Semjon",1904.0,1990.0
"Mirenets, Maria",,
Mir Cəlal,1908.0,1978.0
"Miomandre, Francis de",1880.0,1959.0
"Minulescu, Ion",1881.0,1944.0
"Minkus, F.",,
"Minkov, Svetoslav",1902.0,1966.0
"Minden, Berte-Eve",,
"Min, B.",,
"Milner, R. M",,
"Miln, Louise Jordan",1864.0,1933.0
"Mills, Stanton",,
"Mills, Stanten",,
"Mills, Stan",,
"Mills, Arthur",1887.0,1955.0
"Miller, Webb",1891.0,1940.0
"Miller, R.",,
"Miller, Max",,
"Miller, Helen Topping",1884.0,1960.0
"Miller, Blaine",,
"Miller, Jean Dupont",,
"Mikkonen, M.",,
"Mikkelsen, Ejnar",1880.0,1971.0
"Mihhalkov, Sergei",1913.0,2009.0
"El-Registan, Gabriel",1899.0,1945.0
"Mihhailovski, O.",,
"Mihailov, Peeter",,
"Mièville, J. P.",,
"Miethke, Kurt",1903.0,1968.0
"Miethke, E.",,
"Mierska, G.",,
"Middendorp, Herman",1888.0,1941.0
"Middendorf, Harald",,
"Mickwitz, Christoph",1850.0,1924.0
"Mickoleit, Kurt",1874.0,1911.0
"Mickel, R.",,
"Michniewicz, J.",,
"Michel, Robert",,
"Michaëlis, Sophus",1865.0,1932.0
"Michaelis, Kurd E. D.",,
"Michaeler, L.",,
"Məmmədquluzadə, Cəlil",1866.0,1932.0
"Mezei, Moritz",1886.0,1944.0
"Mezei, G.",,
"Meyn, Niels",,
"Meyer, Alfred Richard",1882.0,1956.0
"Metter, Izrail",1909.0,1996.0
"Mets, August",,
"Mets, A.",,
"Methley, V. M.",,
"Mestens, Apel-les",,
"Meškovski, A.",,
"Merzer, Rudolf",,
"Merrel, Concordia",1885.0,1962.0
"Merlinski, G.",,
"Merlet, Louis",1878.0,1942.0
"Merimée, Prosper",1803.0,1870.0
"Mere, Inger",,
"Mere, G.",,
"Mercier, Armand",,
"Mercereau, Alexandre",1844.0,1945.0
"Menz, Herbert",,
"Menz, Ada",1890.0,1932.0
"Menken, Rue",,
"Menhard Litoměřický, Xaver",1857.0,1909.0
"Mendelsoh, Moses",,
"Mende, Hans",,
"Member, E.",,
Member,,
"Melville, Henry",1799.0,1873.0
"Meliševski, M.",,
"Mela, Richard",,
"Meister, Friedrich",,
"Meissner, Gustav",1910.0,1995.0
"Meisak, N.",,
"Meiorg, Lembit",,
"Meinzer, Curt",,
"Meimer, E.",,
"Meilinger, Otto",,
"Mehlitz, K.",,
"Meeyr-Arhald, O.",,
"Meersch, Max van der",,
"Medõnski, Grigori",1899.0,1984.0
"Meckauer, Walter Moritz",1889.0,1966.0
"McNeille, C.",,
"McNeile, Herman Cyril",1888.0,1937.0
"McKenna, Stephen",1888.0,1967.0
"McCulley, Johnston",1883.0,1958.0
"McCormick, James",,
"McClusky, Thorp",,
"Mc Carthy, Justin Huntly",1859.0,1936.0
"Mazzoni, Guido",1859.0,1943.0
"Mazzini, Carlo",,
"Mažuranić, Fran",1859.0,1928.0
"Mazand, Emil",,
"Mayheur, Pierre",,
"Mayerhafer, A. H.",,
"Mayer, Theodor Heinrich",1884.0,1949.0
"Mayer-Springer, Edith",,
"Mayen, Jan van",,
"May, Edgar",,
"Max, Allan",,
"Mauthner, M.",,
"Maurois, André",1885.0,1967.0
"Maurik, Justus van",1846.0,1904.0
Maurice Leblanc,1864.0,1941.0
"Maur, J.",,
"Maugham, William Somerset",1874.0,1965.0
"Matvey, L.",,
"Matvejev, Roman",,
"Matussovski, Mihhail",1915.0,1990.0
"Matura, Fr.",,
"Mattson, Georg",,
"Mattes, F.",,
"Matscher, Hans",1878.0,1967.0
"Mathus, Suzy",,
"Mathis, S.",,
"Mateson, George",1842.0,1906.0
"Maté, A.",,
"Matavulj, Simo‏ ‎",1852.0,1908.0
"Masters, Edgar Lee",1869.0,1950.0
"Masterman, Walter S.",1876.0,1946.0
"Mast, E.",,
"Masson, Thomas",1866.0,1934.0
"Masson, Thomas",,
"Masser, Max",,
"Massè, Grete",,
"Massé, Grete",,
"Massé, G.",,
"Mass, Vladimir",1896.0,1979.0
"Tšervinski, Mihhail",1911.0,1965.0
"Masovski, H.",,
"Mason, Van Wyck",,
"Mason, Alfred Edward Woodley",1865.0,1948.0
"Masefield, John",1878.0,1967.0
"Masaryk, Tomáš Garrigue",1850.0,1937.0
"Masak, L.",,
"Mas, José",,
"Marvitz, Roland",,
"Marvitš, S.",,
"Marukas, K.",1921.0,1992.0
"Martyr, Weston",,
"Martyn, T.",,
"Marttin, K.",,
"Martõtš, Juhhim",1910.0,1981.0
"Martõtš, Juhhim",,
"Martõnov, Aleksandr",1913.0,1989.0
"Martinez, G",,
"Martin, Stuart",,
"Martin, Kurt",1891.0,1968.0
"Martin, E. H.",,
"Martin, Aleksander",,
"Martin-Currey, Stella",,
"Martin du Gard, Roger",1881.0,1958.0
"Martens, Werner",,
"Martens, Kurt",1870.0,1945.0
"Marsman, Hendrik",1899.0,1940.0
"Marshall, J. G.",,
"Marshall, J.",,
"Marshall, Edison Tesla",1894.0,1967.0
"Marshall, Bruce",1899.0,1987.0
"Marsh, Richard",1857.0,1915.0
"Marsh, Ngaio",1895.0,1982.0
"Marsh, F. St.",,
"Marsey, Claude",,
"Marsel, Gerbeldon",,
"Marsan, Maurice de",1852.0,1929.0
"Maršak, Samuil",1887.0,1964.0
"Mars, S.",,
"Mars, F.",,
"Marryat, Captain",1792.0,1848.0
Marryat,1792.0,1848.0
"Marotta, G.",,
"Maro, Hugo",,
"Markovitcs, M.",,
"Markovics, M. A. von",,
"Markov, S.",,
"Marken, W.",,
"Markau, Franz",1881.0,1968.0
"Markau, F.",,
"Marius, Peter",,
"Maritch, A.",,
"Marilaun, Karl",1881.0,1934.0
"Marilanni, Carl",,
"Marijan, Walter",,
"Marienhof, Anatoli",1897.0,1962.0
"Mariel, Pierre",1900.0,1980.0
Marie Madelaine,1881.0,1944.0
"Marette, Giuseppe",,
"Marek, Jiři",1914.0,1994.0
"Marck, H.",,
"Marcassone, Francesco",,
Marc-Michel,1812.0,1868.0
"Marbeau, Henri",,
"Maran, René",1887.0,1960.0
"Maran, Ebba",,
"Márai, Sándor",1900.0,1989.0
"Manzoni, Alessandro",1785.0,1873.0
"Manuel, Bruno",,
"Mantau, E.",,
"Mansfield, Katherine",1888.0,1923.0
"Manns, Alfred",1877.0,1934.0
"Manning, D.",,
"Manninen, Otto",1872.0,1950.0
"Manninen, Aate",,
"Lessing, G. E",,
"Volke, Johannes",,
"Mann, Heinrich",1871.0,1950.0
"Manhoid, Lethar P.",,
"Manher, G.",,
Manfred Georg,1893.0,1965.0
"Mändmets, Jakob",1871.0,1930.0
"Mändmets, J",,
"Mamsurov, Dabe",1909.0,1966.0
"Mampet, Anne-Marie",,
"Mamin-Sibirjak, Dmitri",1852.0,1912.0
"Mameth, Louis",,
"Mamedhanlõ, Enver",1913.0,1990.0
"Maly, Anton J.",,
"Maly, Anton",,
"Maltz, Albert",1908.0,1985.0
"Maltby, H. J.",,
"Malraux, André",1901.0,1976.0
"Malov, Vassili",,
"Malot, E.",,
"Malõško, Andrei",,
"Malonyai, Dezső",1866.0,1916.0
"Mallet, Andre",,
"Maljugin, Leonid",1909.0,1968.0
"Malířová, Helena",1877.0,1940.0
"Malikov, Kubanõtšbek",1911.0,1978.0
"Malden, Albert",1860.0,1932.0
"Malcomson, F. A.",,
"Malaškin, Sergei",1888.0,1988.0
"Makuszyński, Kornel",1884.0,1953.0
"Maksimović, Desanka",1898.0,1993.0
"Makin, William J.",1894.0,1944.0
"Makarov, B.",,
"Makarov, A.",,
"Makarenko, Anton",1888.0,1939.0
"Makajev, N.",,
"Majthényi, Jenö",,
"Majthenyi, G.",,
"Majakovski, Vladimir",1893.0,1930.0
"Maix, Kurt",,
Mahmut Makal,1930.0,2018.0
"Maharam, Eliazar",1899.0,1962.0
"Mahaleth, Iris",,
"Magur, Djirius",,
"Magog, Y. H.",,
"Magog, H. J.",,
"Magnus, Robert",,
"Mägiste, Julius",1900.0,1978.0
"Magill, R.",,
"Mägi, A.",,
"Maeterlinck, Georgette Leblanc",1869.0,1941.0
"Mäesak, E.",,
"Maël, Pierre",,
"Madelung, Åge",1872.0,1949.0
"Made, Coril",,
"Maddox, John",,
"Maddock, Stephen",,
"Madách, Imre",1823.0,1864.0
"Mack, Fritz",1882.0,1963.0
"Mack, Frity",,
"Machek, Ernst",,
"MacHarg, William",1872.0,1951.0
"Machard, Alfred",1887.0,1962.0
"Machar, Josef Svatopluk",1864.0,1942.0
"Mach, Josef",1909.0,1987.0
"MacGrath, Harold",1871.0,1932.0
"Macevičius, Juozas",1928.0,2011.0
"Macenzie, Compton",1883.0,1972.0
"MacDunn, G.",,
"MacDonell, S. C.",,
"MacDonald, Philip",1901.0,1980.0
"MacClure, Victor",1887.0,1963.0
"Macciano, P.",,
"Mabie, Louise Kennedy",,
"Maassz, Harrit",,
"Maass, Edgar",1896.0,1964.0
"Maass, Alfred",1863.0,
Ma-Ty-Sen,,
M. K.,,
M. F.,,
M . F.,,
"Lyttkens, Alice Cronquist",1897.0,1991.0
"Lys, Gaston de",,
Lynns,,
"Lynn, Victor",,
"Lynn, Judith",,
"Lynn, Jane",,
"Lynch, Gert",,
"Lynch, Gerhard",,
"Lyn, V.",,
"Lykke-Seest, Peter",1869.0,1948.0
"Lydecken, Arvid",1884.0,1960.0
"Lvova, Ksenia",1897.0,1968.0
"Luzian, Johan",1903.0,1996.0
"Luukas, Leida",,
"Lutz, Lu",,
"Lütken, Otto",,
"Lütke, Karl",1895.0,1965.0
"Lütge, Karl",1895.0,1965.0
"Luschnat, David",1895.0,1984.0
"Lurie, R. L.",,
"Lundström, Enni Alfhild Ingeborg",1866.0,1935.0
"Lundkvist, Nils Artur",1906.0,1991.0
"Lundegard, Ernst",,
"Lundberg-Nyblom, Ellen",1869.0,1933.0
"Lund, Hans",,
"Lumet, Huko",1907.0,1981.0
"Lukss, Valdis",1905.0,1985.0
"Lukss, Roberts",1897.0,1941.0
"Lukovski, J.",,
"Lukovski, Igor",1909.0,1979.0
"Lukonin, Mihhail",1918.0,1976.0
"Luke, Claude J.",,
"Lukaševitš, Klavdia",1859.0,1937.0
"Lukaš, Ivan",1892.0,1940.0
"Lukas, Franz Josef",,
"Lukács, Ladislaus",,
"Luitpold, Josef",1886.0,1966.0
"Lüis, Helene",,
"Lühe, V.",,
"Ludwig, Manfred",,
"Ludwig, Emil",1881.0,1948.0
"Lüdige, Karl",,
"Luddecke, W. Jöry",,
"Lüddecke, Verner J.",,
Lüddecke,,
"Lucy, Mary",,
"Lucy, Marie",,
"Lücke, Theodor",1901.0,1973.0
"Lücke, Georg Paul",,
"Luck, O. V.",,
"Lucini, Gian Pietro",1867.0,1914.0
"Lucca, M.",,
"Lubtšenko, K.",,
"Lubowski, Käte",1875.0,1932.0
"Lubke, M.",,
"Lubin, E.",,
"Lubenski, P.",,
"Luaj, M.",,
"Lowndes, Belloc",1868.0,1947.0
"Lowitsch, J.",,
"Löwit, Rudolf",1887.0,1942.0
"Löwit, Rudolf",,
"Lowell, Joan",1902.0,1967.0
"Lovit, Rudolf",,
"Lovit, R.",,
"Lovell, Maurice",,
"Louÿs, Pierre",1870.0,1925.0
"Louis, Pierre Charles Alexandre",1787.0,1872.0
"Lougman, J. P.",,
"Lotin, Ph.",,
"Lothis, Helga",,
"Lothes, Helga",,
"Lothar, Rudolf",1865.0,1943.0
"Lossev, Valentin",1907.0,1942.0
"Lortzing, Rudolf",,
"Lorrent, Pierre",,
"Lornsen, Uwe Jens",1793.0,1838.0
"Lorenz, Heinz",1888.0,1966.0
"Lorent, Pierre",,
"Lorenssen, Erik",,
"Lorensen, Rolf",,
"Lorei, Madlen",,
"Lopex, Walter A.",,
"Loos, Anita",1893.0,1981.0
"Loorbeer, Hans",,
"Loone, E.",,
"Lonzer, B.",,
"Lõnkov, Mihhail",1899.0,1975.0
"Longfellow, Henry Wadsworth",1807.0,1882.0
"Lommel, Ludwig Manfred",,
"Mardicke, Fritz",,
"Lomakin, Ignati",1885.0,1938.0
"Lomakin, Iganti",,
"Lokot, Vassili",1899.0,1937.0
"Lohman, Max",,
"Löhlein, Herbert A.",,
"Löhlau, Herbert A.",,
"Logunova, Tatjana ?-",1987.0,
"Lofting, Hugh",1886.0,1947.0
"Löffler, Gustav",,
"Loeffel, Gustav",,
"Locke, William John",1863.0,1930.0
"Locher, Jens Thilson",1889.0,1952.0
"Lobsien, Wilhelm",1872.0,1948.0
"Llona, Victor",1886.0,1953.0
"Ljungquist, Joel",,
"Ljungdal, Arnold",1901.0,1968.0
"Ljubtšenko, Konstantin",1915.0,1984.0
"Ljubtšenko, Arkadi",1889.0,1945.0
Lju Tsjan,,
"Littmann, Ernst",,
"Littleton, Scott",,
"Lisičar, Matija",1877.0,1939.0
"Lisenko-Konõtš, Ivan",,
"Lisberger, A.",,
"Lippa, Dionys",,
"Lippa, D.",,
"Liping, Elm.",,
"Liping, Elen.",,
"Linström, J.",,
"Linnuse, H.",,
"Linger, Leo",,
"Lindy, K.",,
"Lindt, Margit",,
"Lindstén, Osvald",1898.0,1976.0
"Lindsey, John",,
"Lindsay, Vachel",1879.0,1931.0
"Lindsay, Mayne",,
"Lindow, C.",,
"Lindoll, Marie",,
"Lindner, Lo Masse",,
"Lindner, Gerardo",,
"Lindmäe, J.",,
"Linder, Anton",1892.0,
"Lindekvist, Gunnar",,
"Lindbergh, Anne",,
"Lincoln, Jos. C.",,
"Limburg, Jenny",,
"Lillescu, Alexander Miron",,
"Lilijev, Nikolai",1885.0,1960.0
"Lilienfein, Heinrich",1879.0,1952.0
"Likstanov, Jossif",1900.0,1955.0
"Liivamaa, M.",,
"Liit, Roland",,
"Liidemann, Harry",,
"Lihharev, Boriss",1906.0,1962.0
"Light, James",,
"Liggett, Walter W.",1886.0,1935.0
"Lifšits, Vladimir",1913.0,1978.0
"Liepsnonis, Alpas",1910.0,1989.0
"Lienhart, Hermann",1886.0,1961.0
"Liebold, Ernst Albert",1891.0,1953.0
"Liebig, A.",,
"Liebherr, Hans",,
"Lie, Bernt",1868.0,1916.0
"Lidth de Jeude, E. J. van",1890.0,1932.0
"Lidin, Vladimir",1894.0,1979.0
"Lidin, Vladimir",1894.0,1979.0
"Lichtenberg, Wilhelm",1892.0,1960.0
"Lichfield, Randolf",,
Libero De Libero,1903.0,1981.0
"Libedinski, Juri",1898.0,1959.0
Li-Song-Flu,,
"Leyden, Thomas",,
"Leyden, Th.",,
"Lewton, Val",1904.0,1951.0
"Lewisch, R. H.",,
"Lewis, Sinclair",1885.0,1951.0
"Lewis, Renold",,
"Lewis, Edmund",,
"Lewis, Clifford",,
"Levtšenko, A.",,
"Levitin, Mihhail",1905.0,1991.0
"Levin, Sergei",1913.0,1975.0
"Levin, Lev",1910.0,1958.0
"Levin, Boriss",1899.0,1940.0
"Levin, B.",,
"Leverage, Henry",1885.0,1931.0
"Levašev, M.",,
"Leuchsenring, Paul",,
"Leuchner, Yvonne",,
"Leuba, Jeanne",1882.0,1979.0
"Lesznai, Anna",1885.0,1966.0
"Lestyan, Aleksander",,
"Lester, Leslie",,
"Lester, A. H.",,
"Lessing, Bruno",1870.0,1940.0
"Lessing, Bruno",1870.0,1940.0
"Lesse, Awi",,
"Leskovar, Janko",1861.0,1949.0
"Les, Hermann",,
"Leroux, Gaston",1868.0,1927.0
"Lermontov, Mihhail",1813.0,1841.0
"Lerch, Hans",,
"Lerch, Hanns",1895.0,1960.0
"Lerch, H.",,
"Lerbs, Karl",1893.0,1946.0
"Lepušić, Ivan",1855.0,1906.0
"Lepp, K.",,
"Lepik, H.",,
"Leopold, Grete",,
"Leonov, Leonid",1899.0,1994.0
"Leonidze, Georgi",1899.0,1966.0
Leonardo da Vinci,1452.0,1519.0
"Leon, Albert",1880.0,1959.0
"Leon, A.",,
"Leod, Jac Mac",,
Leo Maksim,,
"Lenz, Mary S. C.",,
"Lentš, Leonid",1905.0,1991.0
"Lentš, Leonid",1905.0,1991.0
"Lenski, Vl",,
"Lennox, Teddy",,
"Lennox, Richard",,
"Lennhard, Erik",,
"Lengyel, Menyhért",1880.0,1974.0
"Lengerke, Wolfgang von",,
"Lengerke, V.",,
"Leng, R.",,
"Lenehau, J. C.",,
"Lemmlin, H.",,
"Lēmanis, Indriķis",1904.0,1960.0
"Leland, Curtis B.",,
"Leitner-Lörn, A.",,
"Leitich, Ann Tizia",,
"Leitich, Albert",1869.0,1908.0
"Leimane, Ilona",1905.0,1989.0
Leimane Ilona,1905.0,1989.0
"Leidmann, E.",,
"Lehtpuu, E.",,
"Lehtonen, Ensio",1906.0,1971.0
"Lehtinen, Hilja",1882.0,1972.0
"Leht, Kalju",1926.0,2006.0
"Lehner, Villy",,
"Lehne, J.",,
"Lehne, Friedrich",1771.0,1836.0
"Lehne, F.",,
"Lehmann, Julius",,
"Lefèvre, Edwin",1871.0,1943.0
"Leeuw, Aart van der",1876.0,1931.0
"Leeming, John F.",,
"Lee, Leonard",,
"Lee, Heinrich",,
"Ledermann, Franz Anton",1889.0,1943.0
"Lederer, Max",,
"Leconte de Lisle, Charles Marie",1818.0,1894.0
"Lecoenr, K.",,
"Lechner, M. von",,
"Lebl, Rol.",,
"Leberecht, Hans",1910.0,1960.0
"Lebedev, Vladimir",1891.0,1967.0
"Lebedev-Kumatš, Vassili",1898.0,1949.0
"Lebbin, L.",,
"Leacock, Stephen",1869.0,1944.0
Ldoff,,
"Lazarevski, Boriss",1871.0,1936.0
"Laycock, James",,
"Lawson, Henry",1867.0,1922.0
"Lawrence, J.",,
"Lawrence, D. H.",1885.0,1930.0
Lavrovski,,
"Lavrenjov, Boriss",1891.0,1959.0
"Laven, A.",,
"Lauxmann, L.",,
"Lauxmann-Kinzelmann, Loni",,
"Laurence, Dunbar Paul",1872.0,1906.0
Laungast,,
"Laufs, Anna",,
"Latzko, Andreas",1876.0,1943.0
"Latt-Felsberg, Annie",1850.0,
"László, Gömöri",,
"László, Aladár",1896.0,1958.0
Lasse,,
"Laskin, Boriss",1914.0,1983.0
"Laskin, B.",,
"Lasker, Käthe u",1889.0,1977.0
"Lasbuck, Hardy",,
"Larson, Karl Gustaf",1873.0,
"Larsen, Verner",,
"Larsen, M. E.",,
"Larsen, Kai",,
"Larsen, H. P.",,
"Larrouy, Maurice",1882.0,1939.0
"Laris, L.",,
Larin-Kyösti,1873.0,1948.0
"Larew, Willis C.",,
"Lapouse, Micheline",,
"Laportin, Jean",,
"Laportin, D.",,
"Lapitski, N.",,
"Lapin, K.",,
"Lapin, Boriss",1905.0,1941.0
"Hatsrevin, Zahhar",1903.0,1941.0
"Laos, H.",,
"Lanskoi, Mark",1909.0,1990.0
"Laniot, Georges",,
"Lanion, Jean",,
"Langmaid, John",,
"Langhofer, L.",,
"Lange, Paul",,
"Lange, H.",,
"Lang, H.",,
"Lane, Naomi",,
"Landy, Lucian",,
"Landsberg, A.",,
"Landre, Jeanne",1874.0,1936.0
"Land, Hans",1861.0,1935.0
"Land, Annemarie",,
"Land, Anne-Marie",,
"Lancaster, G. B.",1874.0,1945.0
"Lamszus, Vilhelm",,
"Lampe, G.",,
"Lambertz, Hans",,
"Lamb, Harold",1892.0,1962.0
"Lamarre, Jacques",,
"Lall, H. D.",,
"Lakatos, László",1881.0,1944.0
"Lait, Jack",,
"Lages, J.",,
"Laffitte, Jean",1910.0,2004.0
"Lafarge, P.",,
"Lācis, Vilis",1904.0,1966.0
"Lâcis, Vilis",1904.0,1966.0
"Lacis, Vilis",1904.0,1966.0
"Lachs, Otto",,
Laburgniere,,
Labruguiere,,
"Labonte, Marie-Therese",,
"Labonté, Marie-Therese",,
"Labiche, Eugène",1815.0,1888.0
"Laanoja, E.",,
"Laan, Heino",,
"Laan, H.",,
"Laaman, Eduard",1888.0,1941.0
"Laagus, H.",,
"La Hire, Jean de",1878.0,1956.0
"La Farge, Oliver",1901.0,1963.0
L. S.,,
L. A.,,
"Kyler, M.",,
"Kyber, Alfred",,
Kyau-Haku-Sai,,
Kyan-Haku-Sai,,
"Kwecińska, Zofia",,
"Kvitko, Leib",1890.0,1952.0
"Kuznetsov, M.",,
"Kuznetsov, A.",,
"Kuusberg, Paul",1916.0,2003.0
"Kutšerjavenko, B.",,
"Kuštšenko, G.",,
"Kussikov, Aleksandr",1896.0,1977.0
"Kurz, Franz",,
"Kurtšavov, Ivan",1916.0,2002.0
"Kurtelin, G.",,
"Kürschner, Käthe",,
"Kurowsky, W.",,
"Kurovsky, V.",,
"Kurmiste, Oskar",1894.0,1941.0
"Kurlents, Alfred",1902.0,1990.0
"Kurganov, Oskar",1907.0,1997.0
"Kurek, Jalu",1904.0,1983.0
"Kureischi, Muhammed Said",,
"Kuper, Semjon",1895.0,1973.0
"Kupala, Janka",1882.0,1942.0
"Kunze, Rolf Herbert",,
"Kunze, Rolf H.",,
"Kunze, R. H.",,
"Kunter, Erich",1898.0,1982.0
"Kunowski, Johannes von",1899.0,1956.0
"Kuningas, Oskar",1911.0,1997.0
"Kuningas, E.",,
"Kunhenn, P.",,
"Kuncewiczowa, Maria",1899.0,1989.0
"Kull, A.",,
"Kulikovski, Vjatšeslav",1885.0,1925.0
"Kulikovski, V.",,
"Kulešov, Arkadi",1914.0,1978.0
"Kukkur, Osvald",1893.0,1969.0
"Kuihnet, H.",,
"Kühnelt, Richard",1877.0,1930.0
"Kühne, Friedrich Theodor",1758.0,1834.0
"Kühne-Hellmessen, W.",,
"Kühn, Erich",1887.0,1953.0
"Kudrjavtsev, P.",,
"Kudirka, Vincas",1858.0,1899.0
"Kuchnert, H.",,
"Küchler, Kurt",1883.0,1925.0
"Kubansky, N.",,
Kuba,1914.0,1967.0
"Kržižanovski, Gleb",1872.0,1959.0
"Kruus, V.",,
"Kruškov, N.",,
"Krušinski, Sergei",1909.0,1959.0
"Krušinski, Sergei",,
"Krüger, B.",,
"Krosigk, Fr. von",,
"Krosigk, F.",,
"Krõmov, Vladimir",1878.0,1968.0
"Krõmov, Juri",1908.0,1941.0
"Krõmm, S.",,
"Kroll, A.",,
"Krklec, Gustav",1899.0,1977.0
"Krizkovsky, Hugo",1905.0,1988.0
"Kriz, H. M.",,
"Kritz, Hugo Maria",1905.0,1988.0
Kristmann Guðmundsson,1902.0,1983.0
"Kristensen, Tom",1893.0,1974.0
"Krispien, Kurt",1899.0,1989.0
"Krispien, Kurt",,
"Kripien, Kurt",,
"Krinitski, Mark",1874.0,1952.0
"Krieger, Arnold",1904.0,1965.0
"Krieger, Arnold",,
"Křička, Petr",18841949.0,
"Krevel, S.",,
"Krėvė-Mickevičius, Vincas",1882.0,1954.0
"Kreutzberg, L.",,
"Kreutz, Rudolf Jeremias",1876.0,1949.0
"Kreuder, Ernst",1903.0,1972.0
"Kretzer-Hartl, Ada",1897.0,1963.0
"Krenberger, Selma",,
"Krenberger, Selina",,
"Kren, Jean",1862.0,1922.0
"Kraatz, Kurt",1856.0,1925.0
"Schönfeld, Alfred",1859.0,1916.0
"Krawczyk, Monica",,
"Kravtšenko, Vsevolod",1915.0,1961.0
"Krauz, Heinrich B.",,
"Krauthoff, Berndt",,
"Krausz, O.",,
"Krause, H.",,
"Kraus, W.",,
"Kratt, Ivan",1899.0,1950.0
"Krasnova, Z. V.",,
"Krasnov, Pjotr",1869.0,1947.0
"Krasnotšub, N.",,
"Krasnopolski, Irene",,
"Krasiński, Zygmunt",1812.0,1859.0
"Kranz, Heinrich B.",1895.0,1964.0
"Kranec, Frank",,
"Kraik, Otto",,
"Krag, Vilhelm",1871.0,1933.0
"Kraft, Robert",,
"Kraf, Ada",,
"Krack, Joachim",,
"Hoffmann, Arthur",,
"Kozõrev, Mihhail",1892.0,1942.0
"Kozõrev, Mihhail",,
"Kozin, Vladimir",1898.0,1967.0
"Koževnikov, Vadim",1909.0,1984.0
"Koževnikov, Aleksei",1891.0,1980.0
"Koward, K.",,
"Kövesdi, Laszlo",,
"Kovalenkov, Aleksandr",1911.0,1971.0
"Kotzer, Erika",,
"Kotšar, Ratšia",1910.0,1965.0
"Kotov, Mihhail",,
"Ljaskovski, Vladimir",1917.0,2002.0
"Kotljar, S.",,
"Kosztolányi, Dezső",1885.0,1936.0
"Kostritski, Mihhail",1887.0,1941.0
"Kossu-Aleksandravičius, Jonas",1904.0,1973.0
"Kossov, S.",,
"Kossorotov, Aleksandr",1868.0,1912.0
"Kosmodemjanskaja, Ljubov",1900.0,1978.0
"Koskenniemi, Veikko Antero",1885.0,1962.0
"Kösen, Fritz",,
"Kosáryné Réz, Lola",1892.0,1984.0
"Korsen, Kaarel",1906.0,1980.0
"Korsakas, Kostas",1909.0,1986.0
"Korpilahti, Martti",1886.0,1938.0
"Korpela, Jarmo",,
"Korobov, Leonid",1909.0,1972.0
"Korobov, Leonid",1909.0,1971.0
"Korobov, L.",,
"Korniitšuk, Oleksandr,",1905.0,1972.0
